YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire,type
2011,10,28,0,801000000000000000,6330000000000000,9.58,11.267,1,1
2011,11,30,0,247000000000000000,25900000000000000,10.94,11.611,0,1
2011,12,7,0,550000000000000000,13200000000000000,7.12,8.858,0,0
2011,12,29,0,309000000000000000,4280000000000000,6.52,7.788,0,0
2012,1,30,0,468000000000000000,14300000000000000,6.86,10.885,0,1
2012,3,9,0,561000000000000000,6390000000000000,8.32,11.267,0,1
2012,3,29,0,603000000000000000,12300000000000000,7.38,10.178,0,0
2012,4,25,0,500000000000000000,4210000000000000,8.22,11.527,0,0
2012,8,9,0,547000000000000000,9430000000000000,9.32,10.523,0,1
2012,8,22,0,630000000000000000,7040000000000000,5.06,9.945,0,1
2012,9,21,0,732000000000000000,2540000000000000,9.62,10.895,1,0
2012,9,26,0,662000000000000000,16100000000000000,8.12,9.754,1,1
2012,11,7,0,749000000000000000,8570000000000000,4.36,11.52,1,1
2012,11,29,0,468000000000000000,3210000000000000,7.76,8.928,0,1
2012,12,19,0,517000000000000000,8980000000000000,5.7,9.514,0,0
