YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2011.00,4.00000,13.0000,12.0000,5.21134e+17,7.11366e+15,4.58000,10.4960,0.00000
2011.00,6.00000,29.0000,12.0000,6.81457e+17,2.62961e+16,7.94000,10.0070,0.00000
2011.00,7.00000,14.0000,12.0000,6.50508e+17,6.65448e+15,6.64000,9.56200,0.00000
2011.00,7.00000,20.0000,12.0000,7.10672e+17,2.72336e+16,8.72000,10.2160,0.00000
2011.00,10.0000,12.0000,12.0000,5.76431e+17,9.21227e+15,6.10000,10.6340,0.00000
2011.00,10.0000,26.0000,12.0000,4.87813e+17,1.24843e+16,4.08000,9.14200,0.00000
2011.00,11.0000,2.00000,12.0000,4.93374e+17,4.91937e+15,6.62000,8.96300,0.00000
2011.00,11.0000,10.0000,12.0000,5.89040e+17,9.44428e+15,6.32000,10.0640,0.00000
2011.00,11.0000,16.0000,12.0000,5.84207e+17,5.16924e+15,7.96000,9.61100,0.00000
2011.00,11.0000,30.0000,12.0000,4.00464e+17,8.92133e+15,8.18000,8.89000,0.00000
2011.00,12.0000,7.00000,12.0000,4.28090e+17,5.50573e+15,5.36000,9.28800,0.00000
2011.00,12.0000,22.0000,12.0000,3.49946e+17,8.77988e+15,7.80000,8.39000,0.00000
2012.00,1.00000,18.0000,12.0000,3.62043e+17,6.11023e+15,7.36000,10.1080,0.00000
2012.00,1.00000,25.0000,12.0000,3.24818e+17,3.47725e+15,5.20000,9.12200,0.00000
2012.00,2.00000,1.00000,12.0000,3.72425e+17,1.16513e+16,5.30000,9.64000,0.00000
2012.00,2.00000,15.0000,12.0000,3.74438e+17,1.29035e+16,5.44000,7.33900,0.00000
2012.00,2.00000,22.0000,12.0000,3.71469e+17,8.78179e+15,5.02000,10.0070,0.00000
2012.00,3.00000,1.00000,12.0000,3.52033e+17,6.92279e+15,4.98000,8.20300,0.00000
2012.00,3.00000,7.00000,0.00000,4.11903e+17,9.05684e+15,4.34000,8.92500,0.00000
2012.00,3.00000,21.0000,12.0000,4.25882e+17,7.21244e+15,5.68000,8.95300,0.00000
2012.00,4.00000,12.0000,12.0000,5.19724e+17,2.16387e+16,4.86000,9.67700,0.00000
2012.00,5.00000,4.00000,12.0000,4.35607e+17,5.27371e+15,5.48000,6.91600,0.00000
2012.00,5.00000,17.0000,12.0000,5.78283e+17,5.82901e+15,8.68000,9.63800,0.00000
2012.00,6.00000,6.00000,12.0000,6.09295e+17,5.45649e+15,4.20000,9.91400,0.00000
2012.00,7.00000,3.00000,12.0000,6.01779e+17,4.10122e+15,5.90000,9.22800,0.00000
2012.00,7.00000,19.0000,12.0000,6.47434e+17,3.99219e+15,8.24000,10.4410,0.00000
2012.00,8.00000,8.00000,12.0000,6.09562e+17,2.90751e+15,8.94000,9.83100,0.00000
2012.00,8.00000,31.0000,12.0000,6.91291e+17,4.28966e+15,6.58000,9.64600,0.00000
2012.00,10.0000,13.0000,12.0000,6.04339e+17,1.56280e+16,6.98000,9.37200,0.00000
2012.00,11.0000,24.0000,0.00000,5.11059e+17,2.56991e+16,7.40000,8.40100,0.00000
2012.00,12.0000,3.00000,12.0000,4.71986e+17,1.81462e+16,7.88000,8.83900,0.00000
2013.00,8.00000,21.0000,0.00000,6.21965e+17,5.50812e+15,7.60000,8.90000,0.00000
2013.00,9.00000,4.00000,0.00000,6.61766e+17,4.40539e+15,5.60000,11.1400,0.00000
2013.00,10.0000,23.0000,0.00000,5.17337e+17,1.11500e+16,7.26000,9.96000,0.00000
