*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-07-28,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
296,,,1.017,317,2,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
975,2.2,1,0,0,,,,,
939,2.9,-5,19,140,,,,,
850,2.8,-7,5,149,,,,,
837,2.8,-7,4,157,,,,,
775,2.9,-7,7,245,,,,,
700,2.7,-9,10,321,,,,,
664,2.8,-11,8,284,,,,,
590,2.2,-17,13,327,,,,,
567,2.3,-19,14,328,,,,,
500,2.2,-25,15,335,,,,,
442,1.9,-32,19,316,,,,,
300,1.3,-54,30,352,,,,,
282,1.2,-57,31,358,,,,,
257,3.0,-58,30,341,,,,,
202,6.3,-60,34,333,,,,,
200,6.3,-60,34,335,,,,,
175,4.6,-58,34,320,,,,,
152,7.2,-58,37,316,,,,,
150,7.1,-58,37,315,,,,,
145,6.7,-59,38,311,,,,,
132,8.1,-59,41,317,,,,,
126,10.1,-58,41,310,,,,,
120,10.2,-59,43,309,,,,,
114,11.4,-60,43,305,,,,,
100,12.9,-60,45,303,,,,,
98.7,13.0,-61,46,305,,,,,
85.4,11.8,-63,47,300,,,,,
81.3,11.8,-63,52,305,,,,,
70,12.5,-64,51,304,,,,,
70.2,12.5,-64,51,305,,,,,
66.9,12.4,-64,56,299,,,,,
57.7,14.4,-66,59,297,,,,,
54.9,15.8,-66,57,298,,,,,
50,16.1,-65,63,296,,,,,
49.7,16.1,-65,63,297,,,,,
45.1,16.6,-66,64,300,,,,,
42.9,16.3,-66,60,298,,,,,
40.8,15.8,-67,63,292,,,,,
37,15.3,-67,65,293,,,,,
30,13.3,-67,68,290,,,,,
28.8,13.0,-68,72,290,,,,,
27.4,12.6,-67,71,293,,,,,
24.8,10.6,-67,71,291,,,,,
20,8.5,-67,85,291,,,,,
19.4,8.1,-66,85,289,,,,,
15.9,6.4,-66,86,288,,,,,
13.7,5.5,-66,91,283,,,,,
12.4,5.0,-65,95,286,,,,,
11.2,4.6,-65,98,284,,,,,
10,4.2,-64,105,282,,,,,
10.2,4.3,-65,101,282,,,,,
8.8,4.0,-61,101,288,,,,,
7,3.4,-60,110,289,,,,,
5,2.3,-58,94,280,,,,,
4.7,2.0,-56,97,282,,,,,
4.7,2.0,-56,97,282,,,,,

* OC;ECC/VAISALA  XtrapO3=15.2

