*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-09-01,23:59:59

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
345,,,0.957,352,0,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
987,1.9,5,0,0,,,,,
916,2.8,-4,16,225,,,,,
850,2.7,-7,15,228,,,,,
700,2.3,-18,14,251,,,,,
521,1.9,-34,19,287,,,,,
500,2.0,-36,20,282,,,,,
478,2.1,-37,20,282,,,,,
438,1.8,-40,17,270,,,,,
367,2.8,-46,17,258,,,,,
350,2.8,-47,17,254,,,,,
335,2.8,-48,19,255,,,,,
320,4.5,-49,20,257,,,,,
306,5.2,-50,19,248,,,,,
300,5.4,-51,19,248,,,,,
279,5.9,-53,21,247,,,,,
242,7.3,-55,26,250,,,,,
220,8.3,-56,28,246,,,,,
200,9.3,-57,26,244,,,,,
191,9.4,-57,27,245,,,,,
166,11.1,-58,42,243,,,,,
158,11.1,-58,44,246,,,,,
150,11.5,-58,44,247,,,,,
137,11.8,-59,43,251,,,,,
131,11.3,-60,44,251,,,,,
119,11.4,-60,48,248,,,,,
113,9.9,-62,46,254,,,,,
108,10.9,-62,50,249,,,,,
100,14.9,-62,48,256,,,,,
97.7,15.6,-63,50,255,,,,,
88.6,15.0,-64,52,249,,,,,
84.4,15.4,-65,56,250,,,,,
80.3,15.2,-65,57,254,,,,,
76.4,15.5,-65,58,256,,,,,
72.8,16.6,-65,59,257,,,,,
70,17.1,-65,60,259,,,,,
69.3,17.2,-65,60,259,,,,,
65.9,17.0,-66,61,260,,,,,
62.8,17.4,-66,61,260,,,,,
56.8,17.3,-67,62,260,,,,,
54.1,17.7,-67,60,259,,,,,
50,17.0,-68,63,259,,,,,
44.3,16.0,-69,63,256,,,,,
42.1,16.3,-69,63,255,,,,,
38.1,15.4,-69,65,253,,,,,
30,12.4,-71,0,0,,,,,
29.6,12.2,-71,0,0,,,,,
26.7,9.9,-71,0,0,,,,,
24.2,9.6,-70,0,0,,,,,
23,8.7,-70,0,0,,,,,
20,7.5,-69,0,0,,,,,
18.8,7.1,-68,0,0,,,,,
17.9,6.6,-67,0,0,,,,,
16.2,6.2,-66,73,252,,,,,
13.3,5.9,-62,62,267,,,,,
12.1,5.6,-63,61,265,,,,,
10,5.3,-59,71,268,,,,,
8.6,5.0,-57,80,265,,,,,
7.8,4.8,-53,83,266,,,,,
7,4.6,-46,80,265,,,,,
6.8,4.5,-45,79,265,,,,,
5,3.3,-36,,,,,,,
5,3.3,-36,,,,,,,
5,3.3,-36,,,,,,,

* OC;ECC/VAISALA  XtrapO3=22.4

