*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-10-06,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
320,,,0.981,379,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
972,2.0,7,0,0,,,,,
903,4.9,4,14,219,,,,,
850,3.2,2,9,209,,,,,
839,2.7,1,10,208,,,,,
778,3.0,-1,6,210,,,,,
700,2.8,-5,12,243,,,,,
500,2.2,-19,13,237,,,,,
488,2.2,-20,11,245,,,,,
431,2.2,-27,15,245,,,,,
431,2.2,-27,15,245,,,,,
334,2.0,-41,12,248,,,,,
305,4.5,-42,14,241,,,,,
300,4.7,-42,14,247,,,,,
267,6.4,-44,14,293,,,,,
256,8.4,-44,14,280,,,,,
223,8.4,-46,16,293,,,,,
200,7.2,-46,20,288,,,,,
186,6.5,-49,17,286,,,,,
178,6.4,-50,18,286,,,,,
170,6.7,-49,18,293,,,,,
162,6.3,-50,17,306,,,,,
155,4.6,-52,0,0,,,,,
150,5.1,-52,0,0,,,,,
135,7.0,-51,0,0,,,,,
129,7.7,-51,0,0,,,,,
118,6.6,-53,0,0,,,,,
102,10.2,-51,0,0,,,,,
100,10.2,-51,0,0,,,,,
89.1,11.7,-50,0,0,,,,,
85.1,10.3,-51,0,0,,,,,
81.2,10.6,-51,0,0,,,,,
70.8,12.6,-50,0,0,,,,,
70,12.6,-50,0,0,,,,,
67.6,12.5,-51,0,0,,,,,
58.9,14.5,-50,34,274,,,,,
53.7,15.5,-50,33,259,,,,,
50,15.2,-50,38,247,,,,,
46.8,15.1,-50,44,255,,,,,
40.8,16.1,-50,37,253,,,,,
37.2,15.6,-50,42,257,,,,,
32.4,15.4,-48,43,265,,,,,
30,14.9,-48,48,286,,,,,
28.3,14.5,-48,52,289,,,,,
23.6,13.6,-47,42,266,,,,,
21.5,12.9,-48,,,,,,,
20,13.0,-46,,,,,,,
19.7,13.0,-46,,,,,,,
18.8,12.9,-45,,,,,,,
17.2,12.8,-42,,,,,,,
13.2,11.5,-39,,,,,,,
12.1,10.9,-38,,,,,,,
11.6,10.5,-37,,,,,,,
10.6,9.9,-34,,,,,,,
10.6,9.9,-34,,,,,,,

* OC;ECC/VAISALA  XtrapO3=66.6

