*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-09-22,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
299,,,1.006,347,0,4,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
990,2.5,6,0,0,,,,,
955,2.9,5,22,302,,,,,
855,2.9,4,24,293,,,,,
850,2.9,4,25,294,,,,,
737,3.0,-2,36,306,,,,,
700,2.9,-5,39,309,,,,,
562,2.3,-15,46,309,,,,,
540,2.5,-16,48,310,,,,,
500,2.3,-21,49,307,,,,,
478,1.9,-23,52,305,,,,,
422,2.3,-29,57,307,,,,,
340,1.7,-40,73,292,,,,,
300,1.7,-46,76,295,,,,,
248,1.7,-57,81,290,,,,,
225,3.4,-59,70,288,,,,,
215,4.7,-57,56,287,,,,,
200,7.0,-52,50,285,,,,,
196,7.3,-51,44,287,,,,,
187,5.3,-49,38,282,,,,,
178,6.1,-50,37,286,,,,,
170,5.6,-51,38,288,,,,,
163,5.4,-52,41,287,,,,,
150,6.5,-52,43,280,,,,,
148,6.6,-52,42,280,,,,,
123,4.7,-52,45,280,,,,,
107,5.6,-54,42,269,,,,,
102,5.3,-54,41,267,,,,,
100,6.0,-54,39,265,,,,,
93.1,7.2,-53,41,264,,,,,
84.9,11.3,-51,43,266,,,,,
73.9,14.0,-52,41,261,,,,,
70,14.3,-52,42,261,,,,,
70.5,14.2,-52,42,260,,,,,
67.3,14.4,-52,42,264,,,,,
64.2,13.9,-54,44,264,,,,,
58.5,15.6,-52,46,267,,,,,
55.9,16.1,-52,47,262,,,,,
53.4,15.9,-51,46,255,,,,,
50,16.3,-51,45,256,,,,,
48.7,16.4,-50,46,253,,,,,
44.4,16.3,-49,48,254,,,,,
40.5,16.4,-48,49,264,,,,,
30,14.3,-50,47,258,,,,,
29.4,14.2,-50,48,259,,,,,
24.5,13.1,-43,47,256,,,,,
21.5,11.9,-43,45,257,,,,,
20,12.1,-43,52,254,,,,,
18.8,12.3,-44,50,250,,,,,
17.2,11.0,-42,48,259,,,,,
15.1,11.0,-40,43,249,,,,,
14.4,10.2,-41,42,252,,,,,
12.6,9.5,-40,45,259,,,,,
12.1,10.0,-38,48,259,,,,,
10,7.4,-37,50,258,,,,,
9.7,7.2,-37,,,,,,,
9.3,6.8,-35,,,,,,,
9.3,6.8,-35,,,,,,,

* OC;ECC/VAISALA  XtrapO3=46.3

