*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-10-27,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
351,,,0.92,354,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1008,1.7,5,0,0,,,,,
1000,1.9,4,9,318,,,,,
972,2.5,0,10,316,,,,,
901,2.4,-6,14,314,,,,,
850,2.4,-8,15,301,,,,,
834,2.4,-8,15,298,,,,,
803,2.6,-7,14,301,,,,,
772,2.5,-7,11,297,,,,,
743,2.9,-6,7,295,,,,,
700,2.5,-7,12,306,,,,,
637,2.1,-10,14,310,,,,,
566,3.0,-17,14,301,,,,,
522,2.2,-19,16,299,,,,,
500,2.2,-21,14,307,,,,,
443,2.4,-28,14,304,,,,,
374,2.3,-37,18,279,,,,,
313,1.4,-47,22,278,,,,,
300,1.4,-49,24,282,,,,,
273,1.7,-53,24,286,,,,,
225,1.7,-62,33,285,,,,,
200,3.6,-63,28,287,,,,,
186,5.6,-59,29,281,,,,,
161,6.9,-56,30,288,,,,,
150,6.1,-55,31,289,,,,,
146,6.1,-54,32,286,,,,,
127,8.9,-54,40,287,,,,,
122,8.7,-53,40,288,,,,,
111,12.7,-50,44,297,,,,,
100,9.3,-51,47,291,,,,,
96.5,8.4,-51,47,285,,,,,
84.1,14.2,-46,42,284,,,,,
80.4,13.8,-46,43,286,,,,,
73.5,16.2,-43,38,296,,,,,
70,16.7,-44,41,295,,,,,
70.3,16.7,-44,41,296,,,,,
67.2,16.3,-46,41,284,,,,,
58.8,17.8,-44,36,284,,,,,
51.4,17.6,-42,31,281,,,,,
50,17.7,-42,32,286,,,,,
49.2,17.8,-42,32,287,,,,,
47.1,17.5,-43,32,282,,,,,
43.1,18.0,-41,31,274,,,,,
43.1,18.0,-41,31,274,,,,,
41.2,18.0,-40,31,279,,,,,
39.4,17.8,-39,29,274,,,,,
36.1,16.5,-40,24,279,,,,,
34.6,17.1,-40,22,285,,,,,
30,16.5,-39,23,296,,,,,
30.3,16.4,-39,23,293,,,,,
27.8,17.2,-38,24,296,,,,,
26.6,17.1,-37,24,309,,,,,
24.4,15.2,-38,19,291,,,,,
23.3,15.5,-39,16,290,,,,,
21.4,14.5,-39,19,298,,,,,
20,14.7,-37,15,293,,,,,
20.5,14.9,-37,17,291,,,,,
10,7.6,-37,12,338,,,,,
9.8,7.3,-37,10,337,,,,,
7,5.1,-34,14,30,,,,,
6.9,5.1,-34,13,23,,,,,
6.9,5.1,-34,13,23,,,,,

* OC;ECC/VAISALA  XtrapO3=34.2

