*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-10-13,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
353,,,0.991,373,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1006,1.5,8,0,0,,,,,
1000,1.6,8,5,262,,,,,
935,2.4,1,2,170,,,,,
850,2.6,-4,2,127,,,,,
700,2.6,-13,1,316,,,,,
636,2.7,-16,5,321,,,,,
519,2.5,-25,3,212,,,,,
500,2.5,-27,4,230,,,,,
458,2.4,-32,4,214,,,,,
420,2.1,-37,2,179,,,,,
352,2.2,-46,3,207,,,,,
307,3.4,-49,5,173,,,,,
300,3.4,-50,6,178,,,,,
280,3.4,-52,4,230,,,,,
255,4.3,-53,5,270,,,,,
232,7.0,-54,11,288,,,,,
222,5.9,-54,14,285,,,,,
202,7.6,-54,17,278,,,,,
200,7.5,-53,17,280,,,,,
193,7.2,-53,18,280,,,,,
176,8.3,-52,23,275,,,,,
168,8.2,-52,24,280,,,,,
160,7.4,-52,23,284,,,,,
150,6.0,-52,30,281,,,,,
139,3.5,-53,30,272,,,,,
133,3.5,-53,30,277,,,,,
116,6.7,-53,37,282,,,,,
110,9.0,-52,39,279,,,,,
105,8.1,-52,40,279,,,,,
100,10.4,-52,40,271,,,,,
96.1,11.8,-52,42,269,,,,,
83.7,14.8,-50,42,272,,,,,
79.9,16.0,-50,43,275,,,,,
72.9,15.6,-49,43,274,,,,,
70,16.5,-48,44,272,,,,,
63.6,18.7,-47,45,269,,,,,
58.1,16.7,-46,47,264,,,,,
50.8,17.1,-45,40,268,,,,,
50,17.0,-45,41,270,,,,,
46.4,17.1,-44,40,274,,,,,
42.4,16.5,-46,38,280,,,,,
40.6,16.0,-47,39,279,,,,,
35.4,15.4,-47,45,271,,,,,
30,15.0,-44,45,268,,,,,
29.6,15.0,-44,44,269,,,,,
27.1,15.1,-42,44,262,,,,,
20,13.1,-38,34,267,,,,,
17.5,12.0,-38,36,263,,,,,
14.7,10.7,-40,28,260,,,,,
13.4,10.2,-39,38,258,,,,,
10.4,7.4,-31,27,269,,,,,
10,7.1,-30,26,270,,,,,
7.7,5.3,-34,23,272,,,,,
7,4.8,-33,30,285,,,,,
7.4,5.2,-34,27,291,,,,,
7.1,4.9,-33,31,287,,,,,
6.2,4.3,-32,26,263,,,,,
6.5,4.5,-34,27,269,,,,,
5.5,3.5,-29,21,236,,,,,
5.5,3.5,-29,21,236,,,,,
5.5,3.5,-29,21,236,,,,,

* OC;ECC/VAISALA  XtrapO3=23.1

