*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-09-15,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
390,,,0.975,411,2,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
982,2.3,4,0,0,,,,,
947,2.8,0,16,310,,,,,
850,2.7,-7,16,305,,,,,
782,2.5,-12,19,302,,,,,
700,2.5,-17,19,295,,,,,
615,2.3,-24,17,299,,,,,
590,2.4,-26,16,295,,,,,
520,2.1,-33,18,288,,,,,
500,2.2,-35,17,274,,,,,
457,2.4,-39,15,270,,,,,
400,2.2,-45,17,267,,,,,
334,3.9,-48,19,277,,,,,
305,2.6,-49,17,284,,,,,
300,2.8,-50,18,286,,,,,
291,3.3,-51,18,291,,,,,
265,9.0,-48,22,296,,,,,
242,10.4,-48,22,291,,,,,
232,10.6,-48,23,289,,,,,
211,9.4,-48,20,299,,,,,
200,9.2,-48,25,299,,,,,
184,9.0,-48,27,297,,,,,
168,8.3,-50,25,290,,,,,
153,7.1,-52,28,292,,,,,
150,7.0,-52,30,292,,,,,
146,7.0,-52,34,293,,,,,
134,7.9,-52,33,288,,,,,
128,7.4,-52,38,282,,,,,
111,7.6,-52,41,293,,,,,
100,13.4,-52,42,294,,,,,
96.5,15.8,-52,42,292,,,,,
88,18.0,-52,42,288,,,,,
84,16.4,-51,47,287,,,,,
76.6,16.1,-51,49,286,,,,,
70,19.4,-50,51,290,,,,,
69.9,19.5,-50,51,290,,,,,
60.9,21.0,-50,50,289,,,,,
55.6,20.5,-50,54,289,,,,,
53.1,19.8,-49,56,282,,,,,
50.7,20.2,-48,56,284,,,,,
50,20.0,-48,57,285,,,,,
42.3,17.7,-49,55,281,,,,,
40.4,17.5,-48,56,283,,,,,
36.9,16.3,-47,60,285,,,,,
32.2,16.0,-44,59,284,,,,,
30,15.3,-44,57,276,,,,,
29.5,15.2,-44,56,276,,,,,
28.2,15.1,-43,59,281,,,,,
25.8,15.7,-41,58,277,,,,,
21.6,13.5,-38,56,285,,,,,
20.7,12.6,-39,56,281,,,,,
20,12.5,-39,58,280,,,,,
19.8,12.4,-39,58,280,,,,,
19,13.4,-38,58,276,,,,,
18.2,14.4,-39,59,274,,,,,
15.3,11.0,-39,64,273,,,,,
14.6,10.9,-39,62,268,,,,,
13.4,9.5,-38,62,265,,,,,
12.8,9.5,-37,65,266,,,,,
10.8,8.2,-35,63,266,,,,,
10.3,7.8,-32,63,267,,,,,
10,7.9,-31,62,270,,,,,
9.9,7.9,-31,61,268,,,,,
8.4,6.0,-30,58,264,,,,,
7,4.9,-29,52,269,,,,,
6.8,4.7,-28,50,266,,,,,
6.8,4.7,-28,50,266,,,,,

* OC;ECC/VAISALA  XtrapO3=31.1

