*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-10-20,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
360,,,0.995,383,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
979,1.4,4,0,0,,,,,
875,2.3,-7,9,225,,,,,
850,2.4,-8,11,218,,,,,
700,2.5,-13,10,211,,,,,
692,2.5,-14,8,226,,,,,
640,2.5,-18,9,231,,,,,
522,1.5,-23,8,264,,,,,
500,1.8,-25,7,258,,,,,
481,1.9,-27,6,286,,,,,
388,1.5,-40,4,216,,,,,
356,1.7,-44,4,256,,,,,
310,1.8,-50,6,275,,,,,
300,2.2,-51,6,282,,,,,
258,7.2,-46,12,282,,,,,
226,8.6,-43,12,273,,,,,
216,8.1,-43,12,278,,,,,
206,8.7,-43,12,273,,,,,
200,8.3,-43,13,279,,,,,
189,7.4,-42,14,292,,,,,
165,7.8,-42,18,274,,,,,
151,10.2,-42,21,290,,,,,
150,9.8,-42,21,289,,,,,
145,8.1,-42,21,288,,,,,
127,9.3,-42,21,282,,,,,
121,9.5,-42,22,286,,,,,
111,7.0,-42,19,283,,,,,
102,11.7,-43,20,297,,,,,
100,11.9,-43,21,301,,,,,
84.8,13.9,-44,23,295,,,,,
77.6,15.0,-44,20,289,,,,,
74.2,14.8,-45,17,300,,,,,
70.9,14.9,-46,24,297,,,,,
70,15.2,-46,24,295,,,,,
64.8,16.5,-45,22,292,,,,,
61.9,16.8,-45,23,298,,,,,
59.2,16.6,-45,24,299,,,,,
51.8,17.6,-45,22,292,,,,,
50,17.7,-45,22,296,,,,,
49.5,17.7,-44,22,298,,,,,
41.3,16.2,-48,25,294,,,,,
39.5,16.4,-47,23,292,,,,,
33,15.2,-46,20,289,,,,,
31.5,15.3,-45,20,292,,,,,
30,15.0,-44,19,297,,,,,
26.3,13.8,-45,20,292,,,,,
25.2,13.9,-45,20,300,,,,,
23,13.7,-45,19,302,,,,,
22,13.0,-45,18,295,,,,,
21,13.2,-45,19,307,,,,,
20,12.7,-45,19,297,,,,,
20.1,12.7,-45,20,298,,,,,
17.6,12.1,-44,16,288,,,,,
15.4,10.6,-44,16,300,,,,,
10.8,7.8,-39,13,302,,,,,
10,7.1,-40,13,257,,,,,
10.3,7.4,-40,15,281,,,,,
9.9,7.0,-40,10,255,,,,,
8.7,5.8,-39,4,263,,,,,
7,4.7,-41,8,218,,,,,
7.3,5.0,-40,8,227,,,,,
5.4,3.7,-36,,,,,,,
5.4,3.7,-36,,,,,,,

* OC;ECC/VAISALA  XtrapO3=25.4

