*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-08-18,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
292,,,1.117,381,2,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1007,2.4,4,0,0,,,,,
1000,2.6,3,14,258,,,,,
971,3.1,0,18,257,,,,,
900,2.8,-6,19,251,,,,,
850,2.7,-10,18,251,,,,,
833,2.7,-11,17,256,,,,,
740,2.4,-16,22,263,,,,,
700,2.4,-19,21,271,,,,,
656,2.3,-22,24,274,,,,,
580,2.1,-28,32,288,,,,,
500,2.4,-34,38,307,,,,,
489,2.5,-35,37,306,,,,,
468,2.3,-37,40,298,,,,,
411,3.5,-40,46,302,,,,,
393,4.7,-41,49,302,,,,,
344,2.0,-46,56,301,,,,,
314,1.7,-52,53,298,,,,,
300,1.7,-53,52,300,,,,,
300,1.7,-53,52,300,,,,,
286,2.0,-54,51,296,,,,,
236,5.3,-58,42,289,,,,,
226,7.2,-57,41,283,,,,,
215,7.5,-57,39,275,,,,,
200,7.2,-57,38,275,,,,,
196,7.1,-57,34,279,,,,,
178,7.3,-60,32,278,,,,,
162,8.5,-60,35,270,,,,,
154,8.1,-61,36,272,,,,,
150,7.7,-61,35,268,,,,,
147,7.4,-62,34,265,,,,,
133,9.9,-61,42,262,,,,,
127,11.6,-59,42,262,,,,,
115,11.6,-59,37,263,,,,,
105,7.2,-60,38,266,,,,,
100,12.3,-61,39,268,,,,,
95.1,14.2,-61,42,262,,,,,
90.6,13.7,-62,42,263,,,,,
86.3,13.8,-62,45,264,,,,,
82.2,13.5,-63,44,260,,,,,
78.3,13.9,-63,43,256,,,,,
71,15.8,-64,46,265,,,,,
70,15.9,-64,47,264,,,,,
64.4,16.0,-64,55,262,,,,,
61.3,17.5,-63,51,263,,,,,
58.4,18.3,-62,56,261,,,,,
55.6,17.8,-62,62,267,,,,,
53,17.5,-64,60,265,,,,,
53,17.5,-64,60,265,,,,,
50,18.1,-64,55,256,,,,,
48,18.2,-63,61,258,,,,,
43.6,18.0,-60,61,259,,,,,
41.5,17.6,-59,58,259,,,,,
37.8,16.8,-58,64,266,,,,,
34.3,15.7,-59,70,264,,,,,
30,14.2,-60,71,263,,,,,
28.3,13.5,-61,70,266,,,,,
23.4,9.7,-59,74,260,,,,,
21.2,8.8,-59,76,262,,,,,
20,8.2,-59,74,264,,,,,
18.4,7.4,-58,73,265,,,,,
15.2,6.6,-56,82,264,,,,,
15.2,6.6,-56,82,264,,,,,

* OC;ECC/VAISALA  XtrapO3=49.0

