*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-03-11,00:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
236,,,0.975,262,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1006,1.4,8,,,,,,,
1000,1.5,7,,,,,,,
850,1.9,2,,,,,,,
806,2.7,3,,,,,,,
700,2.0,0,,,,,,,
669,2.2,-2,,,,,,,
644,2.0,-5,,,,,,,
500,1.9,-16,,,,,,,
300,1.2,-43,,,,,,,
224,1.4,-56,,,,,,,
200,2.0,-58,,,,,,,
185,2.4,-58,,,,,,,
160,5.0,-55,,,,,,,
150,4.2,-55,,,,,,,
139,2.7,-55,,,,,,,
127,3.9,-56,,,,,,,
121,4.1,-56,,,,,,,
115,3.9,-56,,,,,,,
100,5.8,-55,,,,,,,
95.5,6.5,-55,,,,,,,
79.1,7.1,-56,,,,,,,
70,9.7,-53,,,,,,,
68.7,10.3,-53,,,,,,,
65.6,11.0,-54,,,,,,,
57,10.4,-54,,,,,,,
50,10.7,-54,,,,,,,
45.1,12.0,-53,,,,,,,
43.1,12.2,-53,,,,,,,
37.5,10.4,-52,,,,,,,
31.1,12.5,-51,,,,,,,
30,11.5,-51,,,,,,,
28.4,11.1,-51,,,,,,,
27.1,11.4,-50,,,,,,,
20,11.1,-47,,,,,,,
18,11.0,-46,,,,,,,
15.7,10.0,-44,,,,,,,
15.7,10.0,-44,,,,,,,
10,6.3,-40,,,,,,,
7.1,4.9,-35,,,,,,,

* OC;VAISALA NO WINDS  XtrapO3=33

