
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2002-09-17,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10229

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-09-17,23:15:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
404.5,4,428.9,-0.949,407,0,0,Dobson,012

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.009,27.2,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
967,2.3,4,9.8,359
850,2.7,-3,17,354
700,2.8,-13
500,2.1,-30
396,1.7,-43
349,1.5,-50
333,1.7,-52
318,2.1,-53
300,2.3,-53
276,2.1,-54
252,4.4,-53
240,6.7,-52
230,9.5,-49
209,10.1,-48
200,10.8,-47
191,10.7,-46
183,11,-47
167,10.6,-48
160,10.7,-48
150,9.6,-47
139,11.5,-46
133,11.4,-46
127,11.6,-45
122,14.5,-45
116,18.7,-44
106,15.6,-43
102,16.5,-44
100,15.9,-44
97.3,15.1,-45
93.1,15.8,-44
89,16.8,-44
85.1,18.3,-41
81.4,18.4,-42
74.5,18.1,-44
71.3,18.7,-43
70,19.3,-43
68.2,20.2,-43
62.4,18.9,-41
57.1,18.6,-42
52.3,19.4,-42
50,18.6,-42
47.8,17.2,-43
45.7,17,-43
43.8,17.9,-43
41.9,18.8,-43
40,18.8,-43
36.6,18.1,-42
33.5,16.8,-42
32.1,16.1,-42
30,14.7,-42
28.1,14.8,-42
26.9,14.5,-41
24.6,14.1,-40
22.5,13.1,-40
20,12.9,-41
18.9,12.6,-41
17.3,11.4,-42
16.5,11.3,-42
15.8,10.7,-40
15.1,10.7,-39
13.3,9.2,-38
12.7,9.2,-38
11.2,7.8,-39
10,7.1,-37
8.6,6,-36
7,4.8,-36
6.4,4.4,-37
6.1,4.2,-37
5.6,4,-35
5.1,3.6,-34
