
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-10-21,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4365

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-10-21,02:58:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
290,4,349,-0.943,329,0,0,Dobson,115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.009,25.8,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1001,2.98,18,7.7,318
1000,2.99,18
945,3.28,13
912,3.16,10
850,2.99,4
787,2.94,-1
730,3.35,-1
700,3.36,-4
676,3.46,-5
579,3.37,-14
557,3.59,-15
535,3.25,-17
500,3.43,-21
418,2.28,-30
384,2.14,-35
367,2,-38
300,1.85,-47
256,2.28,-52
223,6.04,-50
204,6.53,-50
200,6.44,-50
186,5.92,-50
177,3.6,-50
169,3.02,-50
150,3.06,-54
141,3.32,-56
134,4.61,-56
122,5.59,-56
116,5.41,-56
111,4.72,-57
100,5.36,-57
91.9,9.28,-53
87.7,10.1,-54
83.7,10,-56
76.2,8.82,-53
70,9.77,-55
66.2,12.5,-53
63.2,12.8,-54
60.3,12.6,-54
54.9,14.8,-54
52.4,15.4,-54
50,15,-54
45.6,16.2,-53
43.5,16.6,-53
41.5,16.4,-52
37.9,16.8,-50
34.5,15.9,-51
30.1,15.1,-50
30,15.1,-50
25,13.8,-50
21.8,13.2,-49
20.8,12.9,-49
20,12.9,-48
18.2,11.9,-48
17.4,12,-48
13.9,10.3,-45
11.1,8.98,-42
10.1,8.47,-42
