
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-12-01,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A7277

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-12-01,03:13:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
250.2,4,302.2,-0.938,284,0,0,Dobson,115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.003,26.7,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1002,3.31,33,6.2,340
1000,3.36,33
981,3.87,29
850,3.66,17
713,3.02,4
700,2.82,3
662,2.56,0
591,3.18,-4
500,2.89,-13
450,2.68,-19
432,2.77,-21
415,3.46,-22
366,3.04,-27
300,1.76,-37
284,1.9,-41
206,1.22,-59
200,1.41,-60
178,2.98,-57
150,2.15,-55
134,1.86,-60
116,2.07,-64
100,3.54,-66
95.2,4.14,-66
90.6,3.76,-66
86.2,3.94,-65
70,7.67,-63
61.2,10.4,-60
55.6,11.6,-59
50,12.7,-58
41.8,13.4,-57
39.9,13.6,-57
38,13.5,-57
33,14,-56
30,13.7,-55
27.3,13.4,-55
26.1,13.2,-54
23.8,13.6,-52
21.7,13.1,-51
20,12.7,-50
13.1,10.2,-45
11.5,9.32,-44
10,8.14,-44
8.8,7.4,-43
