
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-12-15,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A7275

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-12-15,01:22:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.8,4,310.9,-0.949,295,0,0,Dobson,115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.009,26.8,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
998,3.82,32
976,4.34,28
944,4.46,25
912,4.32,22
881,4.33,20
850,4.15,17
700,2.92,3
635,2.49,-2
611,2.56,-5
588,2.89,-7
544,2.46,-11
523,2.63,-13
500,2.63,-15
484,2.73,-17
428,2.69,-22
411,2.75,-25
363,2.55,-32
348,2.82,-33
333,2.59,-35
319,2.75,-38
300,2.33,-41
279,2.84,-44
255,2.77,-49
244,2.95,-51
233,2.72,-54
222,3.52,-54
200,4.79,-52
193,4.96,-52
168,4.06,-56
160,2.47,-57
150,2.5,-58
126,3.8,-60
114,2.36,-63
100,3.06,-64
89.5,4.4,-64
85.2,4.26,-63
70,7.63,-62
60.7,9.74,-61
57.8,9.74,-61
52.5,11.2,-58
50,10.9,-58
47.7,10.4,-58
43.4,12.3,-59
39.4,13.3,-57
35.9,13.6,-57
30,13.3,-56
24.6,11.7,-52
21.4,13.3,-49
20,13.2,-48
17.1,12.1,-47
16.3,12.2,-46
13.6,10.8,-45
12.5,9.37,-44
10,8.2,-41
8,7.19,-37
