
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-12-23,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A7281

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-12-23,00:46:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.8,4,296.5,-0.975,289,0,0,Dobson,115
* Reused ozonesonde

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.016,28.2,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1008,0.92,19
1000,1.04,18
985,1.28,16
951,1.56,12
850,3.77,12
824,3.42,10
794,3.43,8
766,3.86,5
700,2.92,0
635,2.19,-5
588,2.21,-9
523,3.25,-14
500,2.66,-16
483,2.26,-16
445,2.13,-21
410,2.51,-26
394,2.52,-28
362,2.27,-33
346,2.56,-36
300,2.01,-43
265,1.47,-48
200,4.23,-54
192,4.71,-53
167,3.71,-52
159,3.65,-51
150,2.66,-52
138,2.15,-55
126,2.76,-57
109,2.82,-61
100,3.27,-63
81.5,5.5,-62
70,6.72,-62
64,7.71,-60
61,9.01,-60
52.8,11,-59
50,11.1,-59
41.6,12.6,-58
34.4,13,-55
32.8,13,-54
31.3,12,-55
30,12.1,-55
28.5,13.4,-54
26,13.5,-50
22.7,12.9,-48
20.7,13.2,-45
20,12.9,-46
16.5,11.7,-46
15.1,11.5,-45
11.6,9.39,-42
10,8.09,-37
7,5.86,-27
6.4,5.28,-27
