* This file was re-written by PREP_CSX to apply WOUDC correction data.

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-05-06,ABM,1.0,Atmosphere Watch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4375

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-05-06,02:26:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
253,4,297,,282,0,0,Dobson,115
* Correction factor was 0.947 but not applied
* Residual Ozone was 44

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.01,25.9,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1018,2.31,21,14,10
1000,2.9,19,11,7
895,3.46,11,11,344
850,2.88,8,7,353
803,2.58,7,5,338
700,2.65,3,8,336
596,2.24,-8,7,333
500,1.99,-18,5,325
432,2.2,-27,3,315
381,1.82,-34,5,320
365,1.87,-36,4,323
300,1.6,-47,5,343
267,1.5,-50,4,312
243,1.34,-54,4,203
200,2.01,-58,7,173
183,2.02,-58,7,192
150,3.14,-60,10,183
144,3.53,-60,9,189
137,3.54,-60,8,195
119,5.08,-62,7,200
108,4.61,-65,7,191
100,4.98,-65,6,200
88.4,7.14,-63,2,184
84.2,8.85,-62,2,204
76.4,9.87,-62,6,272
70,11.7,-62,6,252
62.9,13.5,-61,4,291
54.5,10.3,-60,6,252
51.9,10.1,-60,6,259
50,10.4,-59,5,280
45,11.4,-58,3,266
40.9,11.2,-59,2,258
39,11.4,-58,2,260
37.2,12.2,-56,4,224
35.4,12.5,-56,6,187
32.2,12.3,-57,5,132
30,12.7,-56,5,104
28,12.9,-55,5,82
26.7,12.6,-55,6,66
25.5,12.9,-53,6,63
24.3,13.1,-52,4,200
22.2,13.4,-50,1,332
20,12.7,-50,0,258
17.6,11.9,-50,2,151
16.1,10.9,-48,3,107
15.4,11.2,-46,4,111
14.7,11,-45,4,121
14,9.83,-45,3,140
12.8,10,-46,4,139
10,7.36,-42,7,108
8.6,6.45,-38
