
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-10-29,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4356

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-10-29,00:53:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274.4,4,322.4,-0.979,316,0,0,Dobson,115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.0,26.49,constant_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1004,2.21,20
1000,2.22,20
948,2.15,14
850,2.31,5
790,3.14,4
761,2.64,2
700,2.79,1
655,3.19,-2
607,3.51,-5
500,2.77,-16
480,2.24,-18
443,2.56,-23
391,2.16,-29
375,2.32,-31
330,2.3,-38
300,2.03,-43
200,2.78,-59
181,5.02,-56
165,4.99,-56
150,3.28,-57
143,2.88,-57
124,3.27,-59
112,2.97,-60
100,4.12,-59
88.5,6.6,-59
84.4,8.87,-58
76.8,9.69,-58
73.2,8.67,-58
70,9.1,-58
63.5,9.11,-55
55.1,11.6,-55
52.6,14.5,-54
50,14.1,-55
45.7,15.7,-54
41.6,15.5,-54
39.7,15.2,-52
36.2,15.5,-52
31.5,15.3,-51
30,14.8,-51
27.5,14.3,-50
23.9,13.9,-49
21.8,12.8,-49
20,12.4,-48
18.2,11.6,-49
15.2,10.4,-47
10.6,8.63,-42
10.2,8.33,-42
