# ------------------------------------------------------------
#
# Flight name: V0614
# Station: Davis
# Launch Date: 04 June 2014
# Launch Time: 11:15:18
# 
# This file created: Thu Jun 05 09:15:24 2014
# 
# 
# ------------------------------------------------------------
# DATA COLUMNS
# Time (s)
# Height (m)
# Atmospheric Pressure (hPa)
# Atmospheric Temperature (°C)
# Relative Humidity (%)
# Box Temperature (°C)
# Ozone Partial Pressure (mPa)
# Ozone Mixing Ratio (ppmV)
# Accumulated Ozone to this Height (Dobson Units)
# Remaining Ozone above this Height (Dobson Units)
# 
# ------------------------------------------------------------
# 
# Integrated Ozone = 141.1 DU
# Extrapolated Ozone = 113.7 DU
# 
# Total Ozone = 254.9 DU
# 
# 
# ------------------------------------------------------------
0 , 18 , 990.81 , -22.3 , 51 , 36.40 , 3.004 , 0.030 , 0.00 , 254.86
9 , 57 , 985.46 , -21.2 , 55 , 36.42 , 3.082 , 0.031 , 0.13 , 254.73
19 , 103 , 979.31 , -21.4 , 55 , 36.37 , 3.118 , 0.032 , 0.28 , 254.58
29 , 150 , 973.11 , -21.7 , 56 , 36.30 , 3.151 , 0.032 , 0.44 , 254.42
39 , 195 , 967.18 , -22.1 , 58 , 36.20 , 3.133 , 0.032 , 0.59 , 254.27
49 , 246 , 960.50 , -22.5 , 59 , 36.10 , 3.194 , 0.033 , 0.76 , 254.10
59 , 293 , 954.34 , -22.9 , 58 , 36.00 , 3.184 , 0.033 , 0.93 , 253.94
69 , 345 , 947.67 , -23.4 , 59 , 35.78 , 3.135 , 0.033 , 1.10 , 253.76
79 , 398 , 940.82 , -23.7 , 56 , 35.56 , 3.153 , 0.034 , 1.28 , 253.58
88 , 447 , 934.48 , -23.8 , 54 , 35.26 , 3.122 , 0.033 , 1.45 , 253.41
98 , 497 , 928.10 , -23.7 , 48 , 35.00 , 3.102 , 0.033 , 1.62 , 253.24
108 , 548 , 921.66 , -24.0 , 46 , 34.90 , 3.082 , 0.033 , 1.79 , 253.07
118 , 603 , 914.75 , -24.4 , 48 , 34.73 , 3.055 , 0.033 , 1.97 , 252.89
128 , 655 , 908.18 , -24.8 , 50 , 34.61 , 3.042 , 0.033 , 2.14 , 252.72
138 , 711 , 901.19 , -25.2 , 51 , 34.43 , 3.010 , 0.033 , 2.33 , 252.53
148 , 763 , 894.75 , -25.7 , 52 , 34.27 , 2.998 , 0.034 , 2.50 , 252.36
158 , 816 , 888.28 , -26.2 , 52 , 34.11 , 2.974 , 0.033 , 2.67 , 252.19
168 , 866 , 882.14 , -26.6 , 53 , 33.96 , 2.954 , 0.033 , 2.83 , 252.03
178 , 925 , 874.92 , -26.9 , 53 , 33.73 , 2.922 , 0.033 , 3.02 , 251.84
188 , 981 , 868.17 , -26.9 , 57 , 33.58 , 2.921 , 0.034 , 3.20 , 251.66
