# ------------------------------------------------------------
#
# Flight name: V0106
# Station: Davis
# Launch Date: 12 January 2006
# Launch Time: 23:19:30
# 
# This file created: Thu May 03 11:58:27 2007
# 
# 
# ------------------------------------------------------------
# DATA COLUMNS
# Time (s)
# Height (m)
# Atmospheric Pressure (hPa)
# Atmospheric Temperature (°C)
# Relative Humidity (%)
# Box Temperature (°C)
# Ozone Partial Pressure (mPa)
# Ozone Mixing Ratio (ppmV)
# Accumulated Ozone to this Height (Dobson Units)
# Remaining Ozone above this Height (Dobson Units)
# 
# ------------------------------------------------------------
# 
# Integrated Ozone = 264.0 DU
# Extrapolated Ozone =  27.4 DU
# 
# Total Ozone = 291.4 DU
# 
# 
# ------------------------------------------------------------
0 , 18 , 984.43 , -1.1 , 26 , 26.30 , 2.020 , 0.021 , 0.00 , 291.40
10 , 65 , 978.60 , -2.0 , 29 , 26.35 , 1.951 , 0.020 , 0.09 , 291.30
20 , 104 , 973.79 , -2.3 , 30 , 26.37 , 1.963 , 0.020 , 0.17 , 291.23
30 , 160 , 966.86 , -2.8 , 30 , 26.37 , 1.963 , 0.020 , 0.28 , 291.12
40 , 203 , 961.72 , -3.2 , 31 , 26.36 , 1.997 , 0.021 , 0.36 , 291.03
50 , 249 , 956.11 , -3.5 , 32 , 26.32 , 2.023 , 0.021 , 0.46 , 290.94
60 , 295 , 950.52 , -3.8 , 32 , 26.26 , 2.035 , 0.021 , 0.55 , 290.85
70 , 348 , 944.21 , -4.1 , 32 , 26.21 , 2.047 , 0.022 , 0.66 , 290.74
80 , 395 , 938.50 , -4.5 , 32 , 26.15 , 2.053 , 0.022 , 0.76 , 290.64
90 , 453 , 931.67 , -4.6 , 33 , 26.11 , 2.074 , 0.022 , 0.87 , 290.52
100 , 514 , 924.48 , -5.1 , 33 , 26.06 , 2.064 , 0.022 , 1.00 , 290.40
110 , 565 , 918.45 , -5.6 , 35 , 25.99 , 2.083 , 0.023 , 1.11 , 290.29
120 , 616 , 912.45 , -6.1 , 36 , 25.93 , 2.070 , 0.023 , 1.22 , 290.18
130 , 680 , 905.04 , -6.7 , 38 , 25.88 , 2.068 , 0.023 , 1.35 , 290.05
140 , 745 , 897.53 , -7.2 , 40 , 25.82 , 2.069 , 0.023 , 1.48 , 289.91
150 , 817 , 889.30 , -7.8 , 43 , 25.76 , 2.044 , 0.023 , 1.63 , 289.76
160 , 874 , 882.75 , -8.2 , 44 , 25.70 , 2.043 , 0.023 , 1.75 , 289.64
170 , 934 , 875.93 , -8.6 , 46 , 25.64 , 2.038 , 0.023 , 1.88 , 289.52
180 , 984 , 870.34 , -9.0 , 47 , 25.57 , 2.031 , 0.023 , 1.98 , 289.42
190 , 1033 , 864.77 , -9.5 , 49 , 25.50 , 2.030 , 0.023 , 2.08 , 289.31
200 , 1088 , 858.70 , -9.9 , 53 , 25.43 , 2.022 , 0.024 , 2.20 , 289.20
210 , 1142 , 852.64 , -9.9 , 54 , 25.35 , 2.031 , 0.024 , 2.31 , 289.09
220 , 1189 , 847.50 , -10.1 , 53 , 25.29 , 2.037 , 0.024 , 2.41 , 288.99
230 , 1244 , 841.44 , -10.6 , 53 , 25.22 , 2.026 , 0.024 , 2.52 , 288.88
240 , 1294 , 836.02 , -11.0 , 53 , 25.16 , 2.042 , 0.024 , 2.63 , 288.77
250 , 1353 , 829.63 , -11.5 , 53 , 25.08 , 2.033 , 0.025 , 2.75 , 288.65
260 , 1398 , 824.73 , -11.9 , 52 , 25.01 , 2.027 , 0.025 , 2.84 , 288.55
270 , 1457 , 818.37 , -12.1 , 45 , 24.94 , 1.990 , 0.024 , 2.97 , 288.43
280 , 1511 , 812.63 , -12.1 , 36 , 24.89 , 1.948 , 0.024 , 3.08 , 288.32
290 , 1564 , 807.08 , -12.0 , 29 , 24.83 , 1.883 , 0.023 , 3.18 , 288.22
300 , 1622 , 800.93 , -12.2 , 26 , 24.77 , 1.816 , 0.023 , 3.29 , 288.11
310 , 1672 , 795.70 , -12.2 , 22 , 24.72 , 1.758 , 0.022 , 3.38 , 288.01
320 , 1727 , 790.03 , -12.0 , 16 , 24.67 , 1.689 , 0.021 , 3.48 , 287.92
330 , 1784 , 784.14 , -12.0 , 15 , 24.60 , 1.622 , 0.021 , 3.58 , 287.82
340 , 1837 , 778.76 , -12.2 , 14 , 24.54 , 1.563 , 0.020 , 3.66 , 287.73
350 , 1886 , 773.70 , -12.4 , 13 , 24.51 , 1.528 , 0.020 , 3.74 , 287.65
360 , 1942 , 768.12 , -12.6 , 13 , 24.44 , 1.509 , 0.020 , 3.83 , 287.57
370 , 1996 , 762.69 , -12.9 , 12 , 24.40 , 1.484 , 0.019 , 3.91 , 287.48
380 , 2048 , 757.45 , -13.1 , 12 , 24.35 , 1.461 , 0.019 , 4.00 , 287.40
390 , 2112 , 751.14 , -13.5 , 11 , 24.31 , 1.449 , 0.019 , 4.09 , 287.31
400 , 2166 , 745.84 , -13.9 , 11 , 24.24 , 1.432 , 0.019 , 4.17 , 287.23
410 , 2221 , 740.37 , -14.3 , 11 , 24.19 , 1.429 , 0.019 , 4.25 , 287.14
420 , 2283 , 734.41 , -14.2 , 11 , 24.14 , 1.406 , 0.019 , 4.35 , 287.05
430 , 2333 , 729.57 , -14.1 , 11 , 24.09 , 1.449 , 0.020 , 4.42 , 286.98
440 , 2399 , 723.20 , -14.2 , 11 , 24.03 , 1.493 , 0.021 , 4.52 , 286.88
450 , 2453 , 718.06 , -14.0 , 10 , 23.98 , 1.569 , 0.022 , 4.61 , 286.79
460 , 2508 , 712.96 , -14.3 , 10 , 23.92 , 1.617 , 0.023 , 4.70 , 286.70
470 , 2560 , 708.01 , -14.8 , 10 , 23.86 , 1.666 , 0.024 , 4.79 , 286.61
480 , 2618 , 702.61 , -15.2 , 12 , 23.80 , 1.685 , 0.024 , 4.89 , 286.51
490 , 2674 , 697.40 , -15.6 , 13 , 23.74 , 1.703 , 0.024 , 4.99 , 286.41
500 , 2725 , 692.70 , -16.0 , 13 , 23.69 , 1.707 , 0.025 , 5.08 , 286.32
510 , 2782 , 687.48 , -16.4 , 12 , 23.65 , 1.704 , 0.025 , 5.18 , 286.22
520 , 2835 , 682.65 , -16.7 , 11 , 23.60 , 1.688 , 0.025 , 5.28 , 286.12
530 , 2886 , 678.04 , -17.0 , 11 , 23.54 , 1.666 , 0.025 , 5.37 , 286.03
540 , 2945 , 672.69 , -17.4 , 12 , 23.49 , 1.634 , 0.024 , 5.47 , 285.93
550 , 2999 , 667.84 , -17.5 , 13 , 23.44 , 1.610 , 0.024 , 5.56 , 285.84
560 , 3049 , 663.44 , -17.8 , 15 , 23.39 , 1.590 , 0.024 , 5.64 , 285.75
570 , 3096 , 659.30 , -18.0 , 19 , 23.33 , 1.557 , 0.024 , 5.72 , 285.68
580 , 3140 , 655.41 , -18.1 , 21 , 23.24 , 1.490 , 0.023 , 5.79 , 285.60
590 , 3192 , 650.82 , -18.4 , 21 , 23.14 , 1.381 , 0.021 , 5.87 , 285.53
600 , 3252 , 645.59 , -18.7 , 22 , 23.05 , 1.294 , 0.020 , 5.96 , 285.44
610 , 3305 , 641.01 , -19.2 , 22 , 22.97 , 1.217 , 0.019 , 6.03 , 285.37
620 , 3362 , 636.18 , -19.5 , 23 , 22.91 , 1.173 , 0.018 , 6.10 , 285.30
630 , 3420 , 631.21 , -19.9 , 25 , 22.84 , 1.139 , 0.018 , 6.17 , 285.23
640 , 3486 , 625.56 , -20.3 , 25 , 22.79 , 1.160 , 0.019 , 6.25 , 285.14
650 , 3544 , 620.73 , -20.7 , 25 , 22.75 , 1.200 , 0.019 , 6.33 , 285.07
660 , 3600 , 616.04 , -20.8 , 21 , 22.70 , 1.285 , 0.021 , 6.40 , 285.00
670 , 3659 , 611.13 , -21.2 , 20 , 22.64 , 1.354 , 0.022 , 6.48 , 284.92
680 , 3717 , 606.30 , -21.6 , 20 , 22.60 , 1.376 , 0.023 , 6.57 , 284.83
690 , 3774 , 601.63 , -21.9 , 18 , 22.54 , 1.373 , 0.023 , 6.65 , 284.75
700 , 3832 , 596.89 , -22.4 , 16 , 22.47 , 1.386 , 0.023 , 6.74 , 284.66
710 , 3896 , 591.73 , -22.6 , 13 , 22.39 , 1.462 , 0.025 , 6.84 , 284.56
720 , 3958 , 586.71 , -22.8 , 10 , 22.35 , 1.604 , 0.027 , 6.94 , 284.46
730 , 4017 , 582.01 , -23.0 , 8 , 22.29 , 1.753 , 0.030 , 7.05 , 284.35
740 , 4087 , 576.52 , -23.5 , 9 , 22.24 , 1.884 , 0.033 , 7.18 , 284.22
750 , 4148 , 571.69 , -24.0 , 9 , 22.20 , 1.964 , 0.034 , 7.31 , 284.09
760 , 4202 , 567.47 , -24.4 , 9 , 22.17 , 1.998 , 0.035 , 7.43 , 283.97
770 , 4273 , 561.94 , -24.9 , 11 , 22.12 , 1.998 , 0.036 , 7.58 , 283.82
780 , 4334 , 557.24 , -25.4 , 10 , 22.07 , 2.014 , 0.036 , 7.71 , 283.69
790 , 4401 , 552.13 , -25.8 , 10 , 22.02 , 2.046 , 0.037 , 7.86 , 283.54
800 , 4476 , 546.49 , -26.0 , 10 , 21.99 , 2.071 , 0.038 , 8.03 , 283.37
810 , 4534 , 542.11 , -26.3 , 10 , 21.96 , 2.068 , 0.038 , 8.16 , 283.24
820 , 4597 , 537.35 , -26.8 , 10 , 21.91 , 2.061 , 0.038 , 8.30 , 283.10
830 , 4659 , 532.74 , -27.3 , 10 , 21.86 , 2.061 , 0.039 , 8.44 , 282.96
840 , 4725 , 527.91 , -27.6 , 9 , 21.82 , 2.092 , 0.040 , 8.59 , 282.81
850 , 4795 , 522.78 , -28.1 , 9 , 21.76 , 2.058 , 0.039 , 8.75 , 282.65
860 , 4853 , 518.57 , -28.5 , 9 , 21.73 , 2.047 , 0.039 , 8.88 , 282.52
870 , 4917 , 513.94 , -29.1 , 11 , 21.70 , 2.011 , 0.039 , 9.03 , 282.37
880 , 4978 , 509.60 , -29.5 , 14 , 21.65 , 1.974 , 0.039 , 9.16 , 282.24
890 , 5040 , 505.14 , -29.9 , 15 , 21.62 , 1.934 , 0.038 , 9.29 , 282.10
900 , 5104 , 500.63 , -30.4 , 15 , 21.57 , 1.911 , 0.038 , 9.43 , 281.97
910 , 5157 , 496.93 , -30.9 , 16 , 21.55 , 1.886 , 0.038 , 9.54 , 281.86
920 , 5218 , 492.67 , -31.2 , 16 , 21.52 , 1.841 , 0.037 , 9.67 , 281.73
930 , 5273 , 488.85 , -31.5 , 16 , 21.46 , 1.805 , 0.037 , 9.78 , 281.62
940 , 5326 , 485.22 , -31.9 , 17 , 21.43 , 1.757 , 0.036 , 9.89 , 281.51
950 , 5383 , 481.26 , -32.4 , 17 , 21.39 , 1.712 , 0.036 , 10.00 , 281.40
960 , 5434 , 477.80 , -32.7 , 17 , 21.36 , 1.674 , 0.035 , 10.09 , 281.30
970 , 5488 , 474.17 , -32.8 , 15 , 21.31 , 1.717 , 0.036 , 10.20 , 281.20
980 , 5539 , 470.73 , -33.0 , 14 , 21.28 , 1.766 , 0.038 , 10.30 , 281.10
990 , 5589 , 467.41 , -33.3 , 16 , 21.22 , 1.667 , 0.036 , 10.39 , 281.01
1000 , 5640 , 464.03 , -33.6 , 19 , 21.19 , 1.575 , 0.034 , 10.48 , 280.91
1010 , 5688 , 460.87 , -33.9 , 20 , 21.16 , 1.513 , 0.033 , 10.57 , 280.83
1020 , 5737 , 457.66 , -34.4 , 18 , 21.11 , 1.518 , 0.033 , 10.65 , 280.75
1030 , 5784 , 454.56 , -34.7 , 14 , 21.06 , 1.545 , 0.034 , 10.73 , 280.66
1040 , 5836 , 451.15 , -35.0 , 13 , 21.02 , 1.591 , 0.035 , 10.83 , 280.57
1050 , 5888 , 447.83 , -35.2 , 11 , 20.97 , 1.560 , 0.035 , 10.92 , 280.48
1060 , 5939 , 444.53 , -35.5 , 10 , 20.93 , 1.481 , 0.033 , 11.01 , 280.39
1070 , 5993 , 441.12 , -35.9 , 10 , 20.89 , 1.448 , 0.033 , 11.10 , 280.30
1080 , 6047 , 437.67 , -36.4 , 10 , 20.86 , 1.443 , 0.033 , 11.19 , 280.21
1090 , 6103 , 434.19 , -36.7 , 10 , 20.82 , 1.467 , 0.034 , 11.28 , 280.12
1100 , 6153 , 431.04 , -37.1 , 9 , 20.79 , 1.392 , 0.032 , 11.36 , 280.04
1110 , 6208 , 427.60 , -37.4 , 8 , 20.75 , 1.297 , 0.030 , 11.44 , 279.95
1120 , 6261 , 424.38 , -37.8 , 8 , 20.69 , 1.240 , 0.029 , 11.52 , 279.88
1130 , 6308 , 421.49 , -38.0 , 8 , 20.65 , 1.250 , 0.030 , 11.59 , 279.81
1140 , 6369 , 417.73 , -38.5 , 9 , 20.60 , 1.249 , 0.030 , 11.68 , 279.72
1150 , 6417 , 414.80 , -38.8 , 9 , 20.55 , 1.259 , 0.030 , 11.75 , 279.65
