# ------------------------------------------------------------
#
# Flight name: V1312
# Station: Davis
# Launch Date: 21 March 2012
# Launch Time: 11:19:31
# 
# This file created: Thu Mar 22 15:44:35 2012
# 
# 
# ------------------------------------------------------------
# DATA COLUMNS
# Time (s)
# Height (m)
# Atmospheric Pressure (hPa)
# Atmospheric Temperature (°C)
# Relative Humidity (%)
# Box Temperature (°C)
# Ozone Partial Pressure (mPa)
# Ozone Mixing Ratio (ppmV)
# Accumulated Ozone to this Height (Dobson Units)
# Remaining Ozone above this Height (Dobson Units)
# 
# ------------------------------------------------------------
# 
# Integrated Ozone = 304.4 DU
# Extrapolated Ozone =  24.6 DU
# 
# Total Ozone = 329.1 DU
# 
# 
# ------------------------------------------------------------
0 , 18 , 991.21 , -10.5 , 57 , 32.34 , 2.015 , 0.020 , 0.00 , 329.07
10 , 64 , 985.24 , -11.3 , 59 , 32.38 , 2.069 , 0.021 , 0.10 , 328.97
20 , 119 , 978.23 , -11.9 , 61 , 32.42 , 2.011 , 0.021 , 0.21 , 328.86
30 , 174 , 971.13 , -12.5 , 63 , 32.46 , 1.983 , 0.020 , 0.33 , 328.74
40 , 229 , 964.13 , -13.0 , 66 , 32.48 , 1.984 , 0.021 , 0.44 , 328.63
50 , 291 , 956.40 , -13.6 , 68 , 32.46 , 1.964 , 0.021 , 0.57 , 328.50
60 , 351 , 948.82 , -14.2 , 71 , 32.43 , 1.954 , 0.021 , 0.69 , 328.38
70 , 403 , 942.31 , -14.7 , 73 , 32.41 , 1.961 , 0.021 , 0.80 , 328.27
80 , 461 , 935.20 , -15.3 , 76 , 32.40 , 1.954 , 0.021 , 0.91 , 328.16
90 , 506 , 929.59 , -15.7 , 77 , 32.39 , 1.934 , 0.021 , 1.00 , 328.07
100 , 555 , 923.54 , -16.2 , 78 , 32.38 , 1.916 , 0.021 , 1.10 , 327.97
110 , 603 , 917.70 , -16.4 , 81 , 32.39 , 1.919 , 0.021 , 1.20 , 327.87
120 , 655 , 911.31 , -16.8 , 84 , 32.38 , 1.910 , 0.021 , 1.31 , 327.76
130 , 710 , 904.72 , -17.2 , 86 , 32.37 , 1.901 , 0.021 , 1.41 , 327.66
140 , 765 , 898.05 , -17.5 , 81 , 32.34 , 1.905 , 0.021 , 1.53 , 327.54
150 , 817 , 891.85 , -17.9 , 75 , 32.31 , 1.886 , 0.021 , 1.63 , 327.44
160 , 863 , 886.35 , -18.3 , 75 , 32.29 , 1.884 , 0.021 , 1.72 , 327.35
170 , 906 , 881.24 , -18.8 , 78 , 32.27 , 1.887 , 0.021 , 1.81 , 327.26
180 , 950 , 876.14 , -19.2 , 79 , 32.25 , 1.877 , 0.021 , 1.89 , 327.18
190 , 991 , 871.31 , -19.6 , 81 , 32.23 , 1.870 , 0.021 , 1.97 , 327.09
199 , 1029 , 866.87 , -19.9 , 82 , 32.22 , 1.854 , 0.021 , 2.05 , 327.02
209 , 1071 , 861.88 , -20.4 , 84 , 32.18 , 1.841 , 0.021 , 2.13 , 326.94
219 , 1122 , 856.03 , -20.8 , 86 , 32.14 , 1.844 , 0.022 , 2.23 , 326.84
229 , 1170 , 850.49 , -21.3 , 89 , 32.13 , 1.836 , 0.022 , 2.33 , 326.74
239 , 1219 , 844.79 , -21.8 , 91 , 32.12 , 1.823 , 0.022 , 2.42 , 326.65
249 , 1272 , 838.72 , -22.3 , 95 , 32.08 , 1.808 , 0.022 , 2.53 , 326.54
258 , 1327 , 832.45 , -22.5 , 88 , 32.04 , 1.797 , 0.022 , 2.63 , 326.44
269 , 1384 , 826.07 , -22.3 , 57 , 32.00 , 1.792 , 0.022 , 2.74 , 326.33
279 , 1441 , 819.66 , -22.1 , 39 , 31.95 , 1.798 , 0.022 , 2.85 , 326.22
