
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-06-17,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A14228

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-06-17,23:25:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
316.2,4,331.5,-0.929,308,2,0,Dobson,012

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.030,28.39,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
975,2.5,3,12.4,282
940,2.9,-1,15,272
850,2.8,-8,15,274
700,2.4,-19,21,277
583,2,-31,24,293
500,1.8,-39,32,297
430,1.9,-43,23,311
411,2.7,-43,29,317
393,2.6,-43,30,320
360,5.4,-44,32,315
344,6.7,-44,29,311
329,7.2,-43,31,311
314,7.1,-42,27,308
314,7.1,-42,27,308
300,7.8,-42,26,314
288,8.3,-42,27,326
252,7.9,-44,28,317
241,9,-44,29,314
230,10.6,-43,30,314
211,12.6,-44,31,309
200,12.9,-44,32,308
184,14.1,-44,35,309
176,13.7,-44,34,311
168,11.4,-44,31,297
161,8.9,-44,28,290
150,8.5,-47,28,302
147,8.6,-47,30,303
141,8.1,-48,31,303
134,8.5,-50,31,301
123,6.2,-50,33,297
112,7.2,-51,32,294
107,10.4,-50,35,298
102,7.6,-51,37,296
100,8.2,-51,35,294
97.4,9,-51,35,290
93,11.2,-51,33,291
80.9,10.4,-55,33,300
73.6,9.8,-57,34,292
70,9.9,-58,33,295
66.9,9.6,-60,35,296
63.8,9.4,-61,39,289
57.9,10.6,-59,38,286
50,14.7,-59,41,283
45.6,14.4,-60,42,275
43.5,15.2,-59,37,282
41.4,15.3,-59,31,278
35.8,14.2,-62,38,288
34.1,13.6,-64,39,288
30,12.7,-64,48,280
26.7,12,-66,47,278
23,10.6,-67,42,279
20,9,-67,45,276
16.2,7.1,-69,44,274
15.4,6.8,-67,44,274
14.7,6.4,-67,45,276
13.3,5.8,-67,47,277
10,4.4,-70,50,274
8.9,3.8,-71,57,274
8.1,3.5,-69,55,276
7,3.1,-67,54,277
5,2.1,-66,65,270
4.5,2,-60,64,279
