*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-04-11,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
237,,,1.104,281,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
994,1.5,7,0,0,,,,,
850,2.1,4,29,253,,,,,
700,2.0,-2,31,251,,,,,
612,1.9,-10,32,256,,,,,
566,2.1,-14,33,258,,,,,
544,2.0,-15,34,259,,,,,
500,1.6,-20,33,259,,,,,
391,1.5,-33,41,266,,,,,
328,1.9,-42,48,261,,,,,
300,2.4,-46,47,259,,,,,
239,3.1,-51,36,261,,,,,
218,2.9,-51,34,262,,,,,
200,3.3,-50,34,262,,,,,
181,2.5,-50,30,262,,,,,
165,3.2,-51,28,261,,,,,
158,3.1,-52,27,257,,,,,
151,4.2,-53,25,253,,,,,
150,4.1,-53,25,253,,,,,
137,3.0,-54,22,253,,,,,
125,6.4,-53,19,255,,,,,
114,6.5,-52,17,252,,,,,
109,7.2,-52,16,251,,,,,
100,6.9,-54,15,256,,,,,
94.5,7.4,-54,15,259,,,,,
90.2,7.5,-54,15,262,,,,,
86.1,6.4,-54,16,262,,,,,
71.4,7.7,-55,14,267,,,,,
70,8.8,-55,15,266,,,,,
65,12.7,-55,13,259,,,,,
62,11.6,-55,11,262,,,,,
59.2,9.6,-56,11,270,,,,,
50,10.6,-56,14,264,,,,,
49,10.8,-56,14,262,,,,,
46.7,10.6,-57,14,258,,,,,
36.9,11.9,-54,10,277,,,,,
30,11.5,-57,16,266,,,,,
25.3,10.5,-58,15,252,,,,,
23,9.2,-55,11,266,,,,,
20,8.5,-55,15,278,,,,,
18.2,8.6,-53,15,267,,,,,
15.8,7.9,-50,13,260,,,,,
13.8,7.4,-50,12,260,,,,,
12.6,6.5,-50,15,271,,,,,
12,6.3,-50,15,272,,,,,
10,4.9,-47,16,273,,,,,
9.6,5.0,-46,17,272,,,,,
7,3.9,-41,27,274,,,,,
5,2.5,-38,24,284,,,,,
4.9,2.5,-38,25,282,,,,,

* OC;VAISALA  XtrapO3=17.1

