*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-05-13,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
297,,,0.959,304,2,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
979,2.2,1,0,0,,,,,
907,2.6,-6,25,236,,,,,
850,2.6,-10,27,239,,,,,
700,2.2,-22,28,241,,,,,
500,1.8,-39,34,238,,,,,
447,1.6,-45,37,239,,,,,
390,3.2,-47,47,239,,,,,
356,5.1,-47,52,239,,,,,
326,3.4,-48,53,240,,,,,
300,5.7,-47,52,241,,,,,
297,5.9,-47,52,241,,,,,
284,5.9,-47,51,242,,,,,
272,4.9,-47,50,242,,,,,
260,4.8,-47,49,243,,,,,
237,5.8,-46,48,243,,,,,
200,4.9,-48,43,242,,,,,
189,4.6,-48,42,244,,,,,
165,6.0,-48,39,250,,,,,
150,5.5,-50,37,252,,,,,
137,6.8,-50,34,251,,,,,
125,6.7,-52,35,252,,,,,
119,7.1,-53,35,251,,,,,
114,8.3,-53,34,253,,,,,
100,9.0,-53,34,252,,,,,
90.3,10.3,-54,33,254,,,,,
86.2,9.5,-52,33,259,,,,,
70,11.3,-53,30,260,,,,,
56.7,13.1,-53,25,265,,,,,
54.1,13.1,-54,26,267,,,,,
50,12.7,-56,28,267,,,,,
44.8,13.8,-54,29,263,,,,,
42.8,13.9,-54,30,262,,,,,
39,13.5,-56,29,263,,,,,
37.2,13.3,-57,27,266,,,,,
33.8,13.8,-54,29,273,,,,,
30,13.2,-54,31,273,,,,,
26.7,12.7,-56,34,274,,,,,
23.2,11.2,-54,36,268,,,,,
21.2,11.7,-51,33,269,,,,,
20,11.2,-49,31,273,,,,,
12.7,6.9,-55,41,282,,,,,
10,5.3,-54,44,278,,,,,
8.7,4.4,-55,52,278,,,,,
7,4.0,-51,53,270,,,,,
5,2.9,-48,51,271,,,,,
4.8,2.8,-49,53,271,,,,,

* OC;VAISALA  XtrapO3=20

