*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-05-20,23:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
236,,,1.093,209,2,0,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
1018,2.2,5,0,0,,,,,
1000,2.4,3,16,267,,,,,
910,2.5,-4,17,263,,,,,
850,2.4,-8,18,257,,,,,
751,2.4,-9,19,255,,,,,
700,2.3,-10,24,257,,,,,
642,2.3,-11,24,253,,,,,
548,1.6,-19,24,256,,,,,
500,1.6,-24,27,256,,,,,
300,0.9,-51,32,259,,,,,
237,1.5,-60,28,258,,,,,
200,2.9,-58,27,259,,,,,
196,3.3,-57,27,258,,,,,
170,3.2,-54,25,262,,,,,
150,3.3,-55,25,263,,,,,
134,4.4,-56,24,261,,,,,
122,3.8,-56,24,261,,,,,
111,5.4,-57,25,263,,,,,
100,6.3,-57,25,263,,,,,
96.4,7.0,-57,25,264,,,,,
87.7,7.7,-57,26,266,,,,,
79.8,7.8,-57,26,266,,,,,
70,12.3,-57,25,268,,,,,
69.2,12.6,-57,25,269,,,,,
66,12.4,-56,26,270,,,,,
63,11.5,-57,26,269,,,,,
60.1,11.7,-57,26,267,,,,,
57.3,12.8,-58,25,267,,,,,
54.6,13.0,-58,25,269,,,,,
50,12.3,-59,28,269,,,,,
45.1,11.9,-59,28,266,,,,,
41,11.4,-60,29,266,,,,,
37.2,11.3,-59,30,263,,,,,
32.3,12.1,-58,29,264,,,,,
32.3,12.1,-58,29,264,,,,,
30.8,12.1,-59,30,265,,,,,
30,11.9,-60,30,268,,,,,
26.6,10.8,-61,32,274,,,,,
20,9.0,-59,42,268,,,,,
14.9,6.4,-61,37,269,,,,,
13.5,5.9,-62,41,273,,,,,
10,4.1,-61,42,273,,,,,
7,2.9,-58,50,264,,,,,
5,2.0,-55,46,271,,,,,
3.4,1.3,-52,56,279,,,,,

* OC;VAISALA  XtrapO3=9.7

