*
* This file was generated using WODC 80 column formatted data
* 'na' is used where a model or instrument number is not available
*

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-02,ABM,0.0,

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,MACQUARIE ISLAND,AUS,94998

#INSTRUMENT
Name,Model,Number
Ecc,na,na

#LOCATION
Latitude,Longitude,Height
-54.5,158.967,6

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-02-11,22:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
227,,,1.085,269,0,5,,

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidty,SampleTemperature
999,1.1,9,0,0,,,,,
850,1.3,2,26,284,,,,,
771,1.0,-1,25,284,,,,,
700,1.2,-5,26,287,,,,,
662,1.2,-8,27,283,,,,,
637,1.7,-10,30,279,,,,,
589,1.7,-13,35,277,,,,,
523,3.3,-18,38,270,,,,,
500,3.0,-19,43,269,,,,,
482,2.2,-20,48,269,,,,,
444,2.4,-22,52,266,,,,,
409,1.8,-26,53,265,,,,,
377,1.7,-30,53,266,,,,,
361,1.9,-32,55,267,,,,,
300,1.6,-42,58,267,,,,,
278,1.5,-46,59,266,,,,,
232,2.3,-47,58,264,,,,,
212,1.9,-46,56,264,,,,,
200,2.0,-47,53,264,,,,,
193,1.9,-48,52,264,,,,,
168,2.1,-50,44,265,,,,,
161,2.8,-50,41,266,,,,,
150,2.6,-52,40,267,,,,,
140,2.4,-53,37,266,,,,,
134,2.7,-53,32,270,,,,,
128,3.4,-53,30,273,,,,,
122,3.6,-54,30,274,,,,,
116,4.1,-53,27,275,,,,,
100,5.3,-55,23,273,,,,,
70,9.7,-52,13,279,,,,,
63.4,10.6,-52,10,266,,,,,
57.8,9.8,-53,7,264,,,,,
55.1,10.2,-52,6,258,,,,,
50,11.7,-51,4,302,,,,,
45.8,12.2,-50,6,296,,,,,
43.8,12.3,-50,4,282,,,,,
41.8,11.8,-50,4,280,,,,,
38.1,11.6,-51,2,264,,,,,
34.8,10.9,-50,2,70,,,,,
31.8,9.6,-48,3,60,,,,,
30,8.2,-48,3,63,,,,,
29,8.0,-48,3,69,,,,,
24.2,10.5,-45,4,62,,,,,
23.1,10.6,-44,5,68,,,,,
20,9.3,-43,7,53,,,,,
16.2,8.8,-39,4,19,,,,,
13.1,7.9,-36,4,77,,,,,
10,6.1,-32,5,78,,,,,
7.5,4.4,-27,5,155,,,,,

* OC;VAISALA  XtrapO3=21

