
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-08-04,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4968

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-08-04,23:16:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
333,4,355.9,-0.995,354,2,5,Dobson,006

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.052,26.73,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1003,2.53,6,14.9,290
1000,2.56,5
967,2.95,2
850,2.91,1
802,3,-2
772,2.95,-5
700,2.78,-9
636,2.36,-14
542,2.15,-22
520,2.17,-24
500,2.15,-26
422,2.1,-34
404,1.94,-37
370,1.98,-42
338,1.55,-47
300,1.49,-54
268,1.54,-58
220,1.05,-67
200,1.73,-70
190,2.24,-71
171,5.17,-69
163,5.87,-68
150,4.85,-67
140,7.72,-64
134,5.9,-65
127,3.54,-66
121,5.34,-66
115,8.1,-66
110,11.3,-65
104,11.8,-64
100,10.4,-64
99.5,10.3,-64
94.7,11,-64
90.2,9.96,-65
85.9,11.3,-65
81.7,14.6,-64
77.8,15.4,-65
74.1,14.8,-66
70,16.3,-65
67.2,17.3,-63
61,19,-60
58.1,18.8,-61
55.4,19.1,-60
52.8,19,-59
50,19.2,-57
45.8,19.2,-54
41.7,18.3,-55
38,17.4,-55
33,15.6,-54
30,14.2,-52
28.7,13.2,-51
20.8,9.37,-48
20,9.09,-47
19,8.84,-45
18.2,9.43,-44
17.4,10.6,-42
15.9,11.3,-41
15.2,11,-41
13.9,9.5,-39
13.3,8.88,-38
12.2,8.64,-37
11.2,8.9,-36
10.7,8.79,-37
10,8.12,-38
7,5.06,-38
5,3.41,-38
4.9,3.33,-38
