
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
1999-11-22,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A4987

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-11-22,23:36:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
241.8,4,334,1.000,334,0,0,Dobson,006

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.012,25.8,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
985,1.22,9
950,2.15,4
850,2.28,1
700,2.43,-8
650,2.18,-12
555,2.86,-17
500,2.54,-23
452,2.19,-29
433,1.84,-31
398,1.75,-34
365,1.38,-39
305,2.44,-47
300,2.33,-48
292,2.16,-50
279,2.73,-51
266,5.49,-50
243,6.7,-48
222,6.58,-47
200,5.25,-47
177,3.87,-48
161,4.18,-48
150,3.67,-48
141,3.49,-50
128,4.15,-51
112,6.11,-50
107,7.13,-49
100,7.71,-50
88.8,10.4,-49
81,10.3,-49
77.4,11.6,-48
74,12.5,-48
70,12.8,-48
67.5,12.8,-48
64.5,13.2,-48
56.3,15.3,-47
53.8,15.1,-48
50,15.5,-47
47,16.1,-46
42.9,15.9,-46
39.2,15.4,-46
37.5,15.7,-45
35.8,15.6,-46
32.7,14.8,-46
30,14,-45
26.1,15.2,-44
22.9,13.6,-45
20,12.9,-42
19.1,13.2,-42
