
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-09-10,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10731

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-09-10,03:46:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
302.0,4,337.2,-0.981,331,0,0,Dobson,115
* used ozonesonde

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.011,27.10,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1000,.6,16
943,2.2,11
850,2.7,4
756,2.6,-2
700,2.4,-6
599,2.3,-14
554,2.7,-15
554,2.7,-15
532,2.3,-17
500,2.2,-20
471,2.1,-24
452,1.8,-25
416,1.8,-29
399,2.3,-30
366,2.4,-32
351,2.5,-34
336,2.8,-37
322,3,-38
300,2.7,-41
282,2.6,-43
258,3.8,-44
236,4.6,-43
226,4.4,-42
216,3.5,-43
200,2.7,-44
180,2.2,-46
150,2.4,-51
137,2.4,-55
131,2.2,-55
125,2.2,-56
114,3,-57
103,3,-59
100,3.3,-59
93.8,3.6,-60
85.2,4.7,-60
81.2,6.6,-59
77.4,10.2,-58
73.8,11.8,-57
70,13,-56
61.1,16.1,-54
58.3,16.3,-55
55.7,17,-54
53.1,17.9,-54
50,18.3,-53
48.4,18.5,-52
46.2,18.1,-52
44.1,17,-53
42.1,15.9,-52
35,15.8,-50
30.5,15,-50
30,14.9,-50
29.1,14.7,-49
27.8,14.6,-49
26.6,14,-49
25.4,14.4,-49
24.3,13.6,-49
22.2,14.6,-48
21.2,13.6,-48
20,13.3,-47
19.3,13.3,-46
17.7,12.7,-47
16.9,12.2,-46
16.1,12.3,-45
15.4,12.7,-45
14.1,11.9,-45
12.9,10.8,-44
12.3,9.8,-44
10.8,8.1,-44
10,7.3,-44
9.4,7.3,-43
9,7.2,-43
8.2,6.3,-43
7,5.4,-39
6.6,5.1,-38
