
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2003-01-17,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A12160

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2003-01-17,00:20:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
257.5,4,294.6,-0.974,287,0,0,Dobson,115

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.008,27.4,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1000,3,24
912,4.1,20
850,3.1,17
792,3,14
738,2.5,11
700,2.4,8
661,2.3,5
591,3.2,0
548,2.4,-4
528,2.4,-7
508,3.1,-8
500,3.1,-9
470,2.3,-12
452,1.9,-15
384,2,-24
369,2,-26
339,2.1,-31
325,1.6,-34
311,1.6,-36
300,1.7,-38
273,1.5,-44
249,1.8,-49
217,1.3,-56
200,2.1,-59
197,2.3,-60
188,2.3,-62
170,2.6,-64
150,2.8,-65
140,2.6,-66
121,3.1,-66
115,3,-66
109,3.2,-66
100,3.2,-67
94.2,3.4,-66
89.6,3.7,-65
85.3,5.6,-64
77.4,6.8,-63
70,5.9,-64
57.7,8.1,-62
50,10.5,-58
45.5,11.9,-56
43.4,11.7,-56
41.4,12.3,-56
39.5,12.2,-56
37.7,12.3,-55
35.9,13,-54
34.3,13.6,-54
31.3,13.7,-53
30,13.9,-53
27.2,13.6,-52
26,13.4,-51
22.6,12.8,-49
21.6,12.9,-48
20,12.4,-48
18.9,12.6,-46
18,12.9,-45
17.2,13.1,-43
15.8,12.6,-41
15.1,12.1,-41
14.4,11.9,-41
13.8,11.5,-41
13.2,10.9,-40
12.7,10.4,-40
12.1,10.2,-39
11.1,9.5,-37
10,8.7,-36
8.2,7.2,-34
7.9,6.8,-31
7.2,6.1,-30
7,5.9,-30
6.6,5.6,-29
