
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-11-10,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A8354

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-11-10,22:59:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
310.4,4,346.9,-1.090,378,0,5,Dobson,006

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.042,27.4,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1014,2,7
1000,2.1,7
850,2.5,3
784,2.7,0
700,2.5,-5
674,2.8,-7
554,2,-17
500,2.2,-21
433,2.1,-29
416,2.3,-31
398,2.2,-34
382,2.1,-36
350,2.2,-41
300,1.6,-50
278,1.5,-55
242,5.2,-52
231,5.5,-51
211,5.2,-50
200,5.6,-49
184,5,-49
168,5.2,-48
150,4.7,-50
140,5.4,-50
133,5.2,-51
127,6.6,-51
122,8.3,-50
116,8.9,-49
111,8.9,-50
106,8.6,-49
100,8.9,-48
92.4,8.7,-50
88.2,9.2,-49
84.3,10.3,-49
80.5,10.7,-48
77,12.1,-47
70,13.3,-48
64.2,15.2,-48
61.3,16.6,-47
58.6,16.8,-47
53.5,16.5,-47
50,17,-47
48.9,17.1,-46
46.7,16.9,-46
44.7,17.1,-46
42.7,16.7,-46
39,16.4,-46
37.3,15.9,-46
35.7,15.8,-46
32.6,15,-46
30,14.7,-45
26,14,-45
24.9,13.7,-44
20,12,-43
18.2,11,-43
16.7,10.5,-42
15.9,9.8,-42
14,9,-42
12.8,8,-41
11.2,7.6,-40
10,6.9,-41
8.2,5.7,-38
7.9,5.3,-37
