
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-03-28,ABM,1.0,Ozone Monitoring

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A8326

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-03-28,23:46:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
274,4,292.4,-1.033,302,0,0,Dobson,006

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.030,28.04,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
988,1.82,6,8.2,325
953,2.15,3,15,317
850,2.33,1,11,343
791,2.44,0,12,341
762,2.1,-1,13,345
700,2.32,-5,16,352
605,2.07,-12,16,356
559,1.76,-17,18,357
500,1.69,-23,25,343
419,1.47,-33,25,353
352,1.2,-43,28,339
336,1.04,-46,29,335
322,0.99,-49,30,333
300,1.44,-51,24,343
267,2.08,-57,34,342
243,3.73,-53,26,342
232,3.86,-52,24,335
212,4.04,-51,23,326
200,4.71,-50,24,321
193,4.85,-50,23,313
184,4.76,-49,21,309
176,3.92,-49,19,307
168,4.21,-50,17,309
161,5.35,-49,19,313
154,6.21,-49,17,310
150,5.99,-49,18,308
140,5.55,-50,19,297
134,5.71,-50,20,305
128,6.58,-50,21,297
122,6.78,-50,17,291
111,8.08,-51,16,287
106,9.89,-51,18,296
100,11.1,-51,18,294
92.5,11.3,-51,16,301
88.3,10.2,-51,21,290
84.4,10.4,-51,17,288
76.9,10,-50,16,284
73.5,10.8,-51,16,299
70,10.9,-50,16,290
67,9.9,-50,17,290
64,9.94,-50,17,293
61.1,11.4,-50,11,282
58.4,12.6,-49,10,312
55.8,12.4,-50,14,317
50.9,14.4,-50,14,304
50,14,-49,15,317
46.4,12.8,-49,18,298
44.4,12.9,-49,16,276
42.4,13.5,-47,11,294
37,13,-50,10,295
35.3,13.2,-49,10.5,315
32.2,12.3,-50,10,296
30,12.2,-49,8,288
25.6,11.3,-50,6,301
22.3,11,-48,5,294
20,9.88,-47,6,317
14.9,8.06,-44,2,58
13.6,6.91,-43,5,48
12.5,7.44,-42,3,17
10.4,5.84,-41,5,31
10,5.52,-40,5,74
8.4,4.56,-39,9,36
7,3.87,-37,15,57
6.4,3.5,-37,7,38
5.7,2.97,-36,7.1,52
5.2,2.71,-35,5,132
