
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-09-28,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,029,Macquarie Island,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A8305

#LOCATION
Latitude,Longitude,Height
-54.50,158.95,7

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-09-28,23:21:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
327.4,4,367.5,-1.015,373,0,0,Dobson,006
* Manufacturers pump rate used

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.043,27.05,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
999,2.3,5
963,2.7,0
893,3.2,2
850,2.9,2
799,2.6,-1
700,2.3,-7
634,2.4,-12
563,2.1,-19
519,2.4,-23
500,2.3,-25
421,2,-34
403,2.1,-36
386,1.9,-39
354,2,-44
300,1.7,-54
268,1.6,-59
255,1.8,-61
232,4.2,-60
221,4.3,-59
200,5.2,-58
174,7.3,-54
159,9.3,-51
152,6.5,-51
150,6,-51
145,4.6,-52
138,4,-52
126,5.4,-53
120,5,-53
110,6.4,-52
104,6.6,-52
100,8.7,-51
95.3,10.1,-50
91,11.9,-49
83.1,13.1,-47
79.4,12.6,-46
75.9,11.9,-45
72.6,13.7,-42
70,15.8,-42
66.4,17.8,-42
63.6,18,-42
60.8,18,-42
58.2,18.4,-43
53.2,18.4,-43
50,18.5,-43
48.7,18.6,-43
44.5,19.4,-41
42.6,18.8,-41
40.8,18.5,-41
39,18.5,-40
37.3,18.2,-40
34.2,17.8,-39
30,15.5,-41
27.4,15.1,-41
26.3,15.2,-40
24,14.3,-41
23,14.6,-40
20,13.4,-38
19.3,13.2,-37
18.5,13.2,-37
17.7,13,-38
15.5,11.6,-35
14.9,11.4,-35
14.3,12,-35
13.7,11.3,-35
13.1,9.7,-36
12,7.8,-35
11,7.7,-34
10.5,7.4,-35
10,6.6,-35
9.3,5.9,-36
