
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-10-04,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10750

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,19

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-10-04,23:25:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
183.3,4,199.7,-1.000

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.012,26.40,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
966,2.9,-20,4,100
930,3,-20,5,30
850,2.7,-21
758,2.3,-24
700,2.4,-26
670,2,-28
616,1.9,-32
500,1.6,-41
453,1.5,-46
414,1.9,-50
377,2.3,-51
344,2.1,-54
328,1.7,-56
300,1.6,-60
284,2.2,-61
271,3.1,-62
258,3.8,-62
234,4.9,-63
212,5.2,-63
200,5.4,-64
183,5.8,-65
174,5.6,-65
158,5.1,-66
150,5,-67
136,5.6,-67
130,5.3,-68
123,3.5,-68
117,3,-68
112,1.6,-68
106,.9,-70
100,1,-69
95.9,1.1,-69
91.2,1.2,-69
82.5,1,-68
74.6,1,-67
70,1.1,-66
64.3,1.1,-65
61.2,4.1,-64
58.3,6.9,-64
55.5,4.6,-63
52.9,7.1,-62
50,6,-62
48,4.7,-62
45.7,3.3,-62
43.6,2.6,-62
41.5,2.6,-61
39.6,3.5,-60
37.7,5.6,-59
35.9,6.6,-58
34.3,7.1,-55
32.7,8.5,-52
31.2,8.9,-50
30,9.4,-50
27.2,9,-50
24.9,9,-48
23.7,9.2,-46
21.7,9.2,-46
20.7,9.1,-44
20,9.3,-42
19,9.5,-40
18.2,9.5,-40
16.7,9.4,-37
15.9,8.9,-36
15.3,8.6,-35
14.6,8,-34
13.4,7.6,-34
11.3,6.3,-33
10.8,6.3,-32
10,5.8,-32
9.1,5.2,-30
8.1,4.5,-28
7.4,4,-28
7,3.8,-26
6.5,3.5,-27
5.8,2.8,-22
5.6,2.7,-20
5.3,2.6,-16
