
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-26,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A14973

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,19

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-07-26,23:27:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
207.3,4,240.5,-1.000

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.046,28.47,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
986,2.6,-23
949,3.2,-22
850,3,-19
744,2.7,-21
700,2.7,-24
631,2.4,-27
580,2.2,-32
533,2.2,-35
500,1.9,-38
300,1.2,-62
266,1,-66
241,.9,-71
229,.9,-72
218,1.3,-73
207,2.6,-73
200,3.4,-73
196,3.8,-73
187,4.9,-73
177,5.5,-73
168,5.3,-74
160,6.1,-74
150,5.8,-75
144,5.3,-75
137,6.7,-75
130,7.4,-76
124,8.9,-75
117,10.8,-76
111,7.7,-77
106,7.6,-77
100,10.2,-78
95.2,10.3,-78
90.3,12.3,-79
85.6,11.6,-79
81.2,10.7,-80
77,11.5,-80
73.1,11.9,-80
70,11.9,-80
65.7,12.4,-80
62.3,12.5,-81
59.1,11.9,-81
53.1,12.1,-81
50,11.8,-82
45.2,11.2,-83
42.8,10.8,-83
40.6,10.1,-83
38.5,9.7,-82
34.6,10.1,-83
32.7,9.2,-83
31,8.3,-83
30,8,-82
26.4,7.2,-81
23.8,6.2,-80
21.4,6,-81
20,6,-81
18.2,5.8,-79
17.3,5.5,-78
16.4,5.2,-78
14.8,4.7,-77
12,4.1,-74
