
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,450,Davis,ATA

#INSTRUMENT
Name,Model,Number
ECC,6A,6A14980

#LOCATION
Latitude,Longitude,Height
-68.58,77.97,19

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2005-06-28,23:26:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
224.8,4,262,-1.000

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80(GPS),,0.032,26.60,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
997,2,-14
961,3,-14
923,3.1,-16
850,3,-18
700,2.6,-18
594,2.4,-22
500,1.9,-30
300,1,-59
241,.8,-70
200,.9,-77
196,1,-78
176,2.3,-79
150,5.3,-76
143,6,-76
122,7.7,-77
116,7.6,-77
110,6.4,-77
104,7.8,-77
100,10.5,-78
99.1,11.1,-78
94.1,11.2,-78
89.2,10.1,-79
84.7,11,-80
80.3,13.5,-79
76.2,15.9,-79
72.2,16.2,-79
70,15.9,-79
65,16.2,-80
61.6,16,-80
58.4,14.8,-80
52.5,14.7,-81
50,14.2,-81
47.2,14.2,-81
40.2,12.8,-82
36.1,12.2,-83
34.2,11.6,-83
32.4,10.2,-82
30,9.1,-81
27.6,8.7,-81
24.8,8.1,-82
23.5,8.3,-82
22.3,8.2,-82
20,7.3,-81
19,6.7,-81
18,6.1,-81
16.2,5.4,-81
12.4,4.5,-77
