
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2001-07-19,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A10211

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2001-07-19,00:39:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
248.6,4,309.2,-0.941,291,0,0,Dobson,105
* used sonde

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.052,26.7,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1016,1,12,4.1,251
1000,1.1,10,5,249
958,2.6,7,8,197
923,3.2,5,9,194
850,3.1,1,11,209
766,3,-1,13,173
700,2.8,-5,17,173
658,3,-6,15,173
563,2.6,-13,16,178
500,2.1,-20,19,175
461,1.7,-24,18,183
406,1.5,-31,14,177
373,1.5,-36,13,171
357,1.4,-39,13,169
300,1.1,-49,17,169
248,1.1,-57,18,187
200,2.6,-59,17,244
186,3.1,-59,23,248
177,3.2,-58,24,241
150,2.8,-58,26,250
133,2.4,-61,28,252
127,2.1,-61,29,250
121,2,-61,28,241
110,3,-60,26,248
100,3.7,-61,23,249
90.6,5.2,-60,14,240
86.3,5.7,-61,17,255
82.2,7.5,-62,22,249
78.3,7.8,-60,21,242
70,10,-59,20,255
64.7,12.2,-59,17,256
58.8,12.7,-60,23,254
50,14.7,-60,24,247
46.2,15.3,-60,21,242
44,15.2,-59,19,242
42,15.8,-58,18,245
40,15.8,-59,16,253
38.2,16.5,-58,19,258
36.4,16.7,-57,17,260
34.7,16.3,-56,16,274
33.1,15.9,-57,16,287
30,15.5,-59,20,275
26.1,14.6,-58,26,261
23.7,13.3,-57,26,261
20,12.3,-54,29,266
18.7,11.5,-53,30,275
17.1,11.5,-49,38,275
16.3,11.2,-49,37,274
14.9,10,-50,38,274
13.6,9.6,-51,44,272
13,9.9,-50,45,271
11.3,8.5,-47
