
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2001-08-03,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A8775

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2001-08-03,02:12:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
258,4,300,-1.007,302,0,0,Dobson,105
* data loss 317 - 174 hPa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.11,27.5,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1009,1.9,12
1000,2.1,11
951,2.4,7
917,2.3,4
850,2.4,-1
820,2.7,2
790,3.1,3
761,3.1,0
700,2.7,-3
654,2.3,-7
582,2,-14
559,2,-15
516,2.6,-19
500,2.3,-20
438,1.9,-28
402,1.9,-34
323,1.2,-44
300,1.2,-46
224,1.4,-49
200,1.5,-50
179,1.6,-51
150,1.4,-55
135,1.8,-57
123,2,-59
117,2.6,-59
106,4,-58
101,4.5,-59
100,4.6,-59
76,9,-59
70,9.9,-59
65.9,11.1,-58
59.9,10.7,-58
54.4,12.1,-58
51.9,12.3,-58
50,12,-58
45,12.4,-59
40.9,15.3,-58
39,16,-58
37.2,15.6,-59
33.8,14.9,-59
32.2,15,-58
30,14.5,-56
26.7,13.6,-55
23.2,12.7,-56
22.1,12.3,-56
20.1,12.1,-56
20,12.2,-56
19.2,12.8,-53
18.3,12.8,-51
17.5,12.5,-51
16.7,12.4,-50
15.9,11.8,-50
13.3,10.1,-53
10,7.4,-55
9.1,6.8,-54
7.9,5.8,-54
7.6,5.7,-54
