* UPDATE NOTICE: The Ozone Partial Pressure (O3PartialPressure) data contained within this
* file were originally submitted in the units of nbar and have been adjusted by the WOUDC
* into mPa. - WOUDC, January 2002

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-09-13,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A7299

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-09-13,13:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
280.6,4,316.6,-0.948,299,0,0,Dobson,105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.00,27.4,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
1010,1.66,15
1000,1.76,14
886,3.06,9
850,3.28,8
794,4.5,9
738,4.52,5
700,3.9,2
660,3.2,-1
636,3.5,-4
612,3.53,-6
589,3.02,-8
500,2.66,-16
378,2.41,-31
332,2.56,-36
300,2.67,-40
292,2.6,-42
232,1.75,-51
222,1.58,-54
200,1.44,-59
167,1.31,-60
150,1.53,-60
131,1.56,-63
119,2.06,-64
113,2.64,-63
100,3.51,-61
93.2,3.96,-61
84.5,3.49,-62
80.5,3.95,-63
73.1,8.34,-62
70,9.94,-60
63.3,12.9,-58
60.4,11.9,-57
57.6,13.1,-56
54.9,13.2,-55
50,17.2,-53
47.8,17.3,-53
43.5,16.7,-53
41.5,17,-53
39.6,16.6,-54
37.8,16.9,-55
30,15.8,-51
22.8,13.9,-49
20,13.1,-49
17.3,12.1,-49
16.5,11.6,-49
13.8,9.85,-50
13.1,9.74,-51
12.6,9.38,-51
12,9.11,-51
10,7,-44
8.8,6.53,-39
7.4,5.45,-37
7,5.25,-38
