* UPDATE NOTICE: The Ozone Partial Pressure (O3PartialPressure) data contained within this
* file were originally submitted in the units of nbar and have been adjusted by the WOUDC
* into mPa. - WOUDC, January 2002

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-08-31,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A7300

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-08-31,02:30:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
367.6,4,403.9,-0.951,384,0,0,Dobson,105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.014,26.9,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
995,1.76,14
972,2.47,11
850,2.64,1
700,2.51,-9
617,2.57,-13
570,2.15,-18
500,1.88,-26
445,2.08,-31
374,1.95,-39
328,1.61,-45
313,1.71,-47
300,2.02,-48
273,2.96,-50
261,3.07,-50
200,5.03,-50
181,7.17,-50
165,7,-52
150,8.55,-52
125,10.9,-51
119,10.6,-50
114,9.78,-51
104,9.37,-55
100,9.51,-54
82.3,12.9,-51
75.1,15.5,-50
71.7,15.9,-50
70,15.8,-50
65.4,16.2,-51
62.4,16.8,-51
54.4,20,-49
52,20.5,-47
50,20.5,-49
45.3,20.3,-49
43.3,19.5,-50
41.4,19.5,-49
37.8,18.9,-47
33,16.5,-46
30,15.8,-47
27.5,15.6,-47
25.1,14.7,-48
24,15.2,-46
22.9,14.4,-44
20,14.4,-43
19.2,14.1,-42
17.6,14.5,-41
16.8,14,-42
14.7,11.4,-43
12.9,11.8,-40
11.8,11.2,-44
10.8,9.9,-44
10,7.47,-42
9.4,6.74,-42
7.3,5.26,-39
