* UPDATE NOTICE: The Ozone Partial Pressure (O3PartialPressure) data contained within this
* file were originally submitted in the units of nbar and have been adjusted by the WOUDC
* into mPa. - WOUDC, January 2002

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-08-25,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A7301

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-08-25,02:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
331.5,4,357.5,-0.929,332,0,0,Dobson,105

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.009,26.9,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
989,0.25,21
967,2.07,10
932,2.63,8
850,2.89,2
804,2.8,-1
700,2.8,-7
590,2.44,-16
567,2.54,-18
500,2.15,-24
424,1.66,-34
300,1.71,-53
258,4.45,-51
246,4.4,-50
235,4.7,-50
224,4.25,-51
214,6.61,-51
200,5.67,-52
195,4.57,-52
187,4.19,-52
170,4.33,-52
162,5.25,-52
155,5.31,-53
150,5.08,-52
135,5.28,-54
129,5.78,-54
117,9.85,-53
112,10.2,-52
100,11.6,-52
97.3,11.5,-52
92.9,11.2,-53
84.6,10,-54
77,11.4,-55
70,14.1,-55
66.9,14.2,-56
60.9,15.6,-56
52.8,16.5,-57
50,16.5,-57
48.1,17.3,-56
45.8,16.8,-56
43.7,16.7,-56
41.7,17,-56
38,17.5,-53
34.6,16.7,-53
30,15.3,-55
27.4,14.1,-57
20,11.1,-58
17,9.23,-56
14.8,8.75,-55
12.3,8.39,-54
11.7,8.58,-53
10,7.59,-51
8.1,5.74,-50
8.5,6.18,-52
7,5.12,-51
5.8,4.24,-46
5.1,3.66,-46
