* UPDATE NOTICE: The Ozone Partial Pressure (O3PartialPressure) data contained within this
* file were originally submitted in the units of nbar and have been adjusted by the WOUDC
* into mPa. - WOUDC, January 2002

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2000-09-07,ABM,1.0,Atmosphere Watch Section

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,394,Broadmeadows,AUS

#INSTRUMENT
Name,Model,Number
ECC,6A,6A7278

#LOCATION
Latitude,Longitude,Height
-37.68,144.95,110

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2000-09-07,23:45:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
162.6,4,279.2,-1.135,317,0,0,Dobson,105
* Used sonde
* Balloon burst prematurely at approx 30hPa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
SPCECC-VaisalaRSA11-VaisalaRS80,,0.03,26.7,const_ib2,pump

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
982,1.94,14
926,2.45,9
850,2.46,3
770,2.64,-1
700,2.46,-4
661,2.59,-7
500,1.81,-20
463,2.24,-24
444,2.11,-27
426,2.46,-30
358,2.48,-40
313,3.87,-46
300,5.13,-46
274,8.1,-43
250,8.03,-44
240,8.28,-44
200,4.71,-47
191,4.16,-47
159,3.26,-49
150,3.34,-51
126,3.82,-56
115,4.67,-57
110,5.28,-57
104,5.16,-57
100,5.34,-58
90.5,3.89,-61
82.3,6.46,-60
78.4,5.79,-59
70,11,-57
64.8,13,-58
61.8,13.3,-59
58.9,13,-61
56.1,12.4,-61
50,13.8,-59
46.4,14.3,-58
44.2,14.2,-58
40.2,16,-58
38.3,16.1,-56
36.6,15.9,-57
34.8,15.4,-59
